Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,aur kirpa kar ke phone number,request,slot,phone
BOT,"pizza_hut_city_centre ka phone number hai pizza_hut_city_centre_phone
",inform,phone,01223 323737
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,main canapes food dhoond raha hoon kisi bhi price range me,inform,pricerange,dontcare
BOT,"sorry but yahan koi bhi canapes restaurant nahin hai jo aapki request ko match kar sake
",canthelp,food,canapes
HUMAN,european kaisa rahega,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"michaelhouse_cafe badiya restaurant hai serving european food aur woh expensive price range me hai
",inform,pricerange,expensive
HUMAN,khaana,thankyou,,
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,nagar ke kisi bhi part mein,inform,area,dontcare
BOT,"michaelhouse_cafe european khana serve karte hain .
",inform,food,european
HUMAN,kya please mujhe address aur phone number milega,request,slot,addr
BOT,"michaelhouse_cafe ka phone number hai michaelhouse_cafe_phone
",inform,phone,01223 309147
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,mein doond raha hoon,inform,this,dontcare
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,derately priced,inform,pricerange,moderate
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,town k north part me kisi bhi tarah ka,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"the_nirala ek achha restaurant hai nagar ke north bhaag mein jo indian khana serve karta hai
",inform,area,north
HUMAN,saans price range,request,slot,postcode
BOT,"the_nirala moderate range mein hai
",inform,pricerange,moderate
HUMAN,breath kya mujhe phone number mila sakta hai please,request,slot,phone
BOT,"the_nirala ka phone number hai the_nirala_phone
",inform,phone,01223 360966
HUMAN,saans dhanyavad goodbye,bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,turkish food town ka north mein,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"sorry town ki north me koi turkish restaurant nahin hai
",canthelp,"area, food","north, turkish"
HUMAN,asian_oriental kaisa rahega,inform,food,asian oriental
BOT,"saigon_city ek achha restaurant hai nagar ke north bhaag mein jo asian_oriental khana serve karta hai
",inform,area,north
HUMAN,kya please mujhe address aur phone number milega,request,slot,addr
BOT,"Bilkul , saigon_city saigon_city_address par hai
",inform,phone,01223 356555
HUMAN,aur kirpa kar ke phone number,request,slot,phone
BOT,"saigon_city ka phone number hai saigon_city_phone
",inform,phone,01223 356555
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,center,affirm,,
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,<SILENCE>,silence,,
BOT,"aap restaurant dhund rahe hai na ?
",confirm-domain,,
HUMAN,vietnamese food,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock ek acha restaurant hai town ka east mein aur cheap price range mein
",inform,area,east
HUMAN,khana,thankyou,,
BOT,"kya main aapki aur kuch madad kar sakta hu ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"Sorry , east of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , north of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , centre of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , east of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north east,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , north of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , centre of town me vietnamese food serve karne vala koye cheap restaurant nahi hai .
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , centre of town me vietnamese food serve karne vala koye moderate restaurant nahi hai .
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , north of town me vietnamese food serve karne vala koye moderate restaurant nahi hai .
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , east of town me vietnamese food serve karne vala koye moderate restaurant nahi hai .
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
HUMAN,thank you goodbye,bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,koye area restaurant kosher food,inform,area,dontcare
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,kosher,inform,food,kosher
HUMAN,<SILENCE>,silence,,
BOT,"cote ek achha restaurant hai nagar ke centre bhaag mein jo french khana serve karta hai
",inform,area,centre
HUMAN,food ki type,request,slot,area
BOT,"cote ek badiya restaurant hai
",offer,name,cote
HUMAN,phone number,ack,,
BOT,"cote ka phone number hai cote_phone
",inform,phone,01223 311053
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,creative khana,inform,food,creative
BOT,"sorry but yahan koi bhi creative restaurant nahi hai jo aapki request ko match karta ho
",canthelp,food,creative
HUMAN,modern_european,inform,food,modern european
BOT,"Kya aap cheap , moderate , ya expensive price range mein kuchh pasand karenge ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie great restaurant hai jo modern_european khana serve karta hai aur wo moderate price range mein hai
",inform,pricerange,moderate
HUMAN,pata,ack,,
HUMAN,<SILENCE>,silence,,
BOT,"Bilkul , riverside_brasserie riverside_brasserie_address par hai
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie great restaurant hai jo modern_european khana serve karta hai aur wo moderate price range mein hai
",inform,pricerange,moderate
HUMAN,pata,ack,,
BOT,"Bilkul , riverside_brasserie riverside_brasserie_address par hai
",inform,phone,01223 259988
HUMAN,phone number,ack,,
BOT,"riverside_brasserie ka phone number hai riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,north part of town meh cheap restaurant hai,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria ek acha restaurant hai town ka north mein aur cheap price range mein
",inform,area,north
HUMAN,address kya hai,request,slot,addr
BOT,"Bilkul , da_vinci_pizzeria da_vinci_pizzeria_address par hai
",inform,phone,01223 351707
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,south part of town meh cheap restaurant hai,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_lucky_star ek acha restaurant hai town ka south mein aur cheap price range mein
",inform,area,south
HUMAN,aur kuchh,affirm,,
BOT,"nandos ek acha restaurant hai town ka south mein aur cheap price range mein
",inform,area,south
HUMAN,address kya hai,request,slot,addr
HUMAN,"Bilkul , nandos nandos_address par hai
",request,slot,phone
HUMAN,wo kaunsa prakar ka food hain,request,slot,area
BOT,"nandos portuguese khana serve karte hain
",inform,food,portuguese
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,caribbean khana,inform,food,caribbean
BOT,"sorry , but aapake anurodh se mel khaane vaala koee caribbean restaurant nahin hai
",canthelp,food,caribbean
HUMAN,british food,inform,food,british
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,mujhe parvah nahi hain,inform,this,dontcare
BOT,"Kya aap cheap , moderate , ya expensive price range mein kuchh pasand karenge ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"saint_johns_chop_house ek achha restaurant hai nagar ke west bhaag mein jo british khana serve karta hai
",inform,area,west
HUMAN,Phone number kya hain,request,slot,phone
BOT,"saint_johns_chop_house ka phone number hai saint_johns_chop_house_phone
",inform,phone,01223 353110
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,international food,inform,food,international
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,international,inform,food,international
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock international khana serve karte hain .
",inform,food,international
HUMAN,Phone number kya hain,request,slot,phone
BOT,"the_missing_sock ka phone number hai the_missing_sock_phone
",inform,phone,01223 812660
HUMAN,post code kya hai,request,slot,postcode
BOT,"the_missing_sock ka post code hain the_missing_sock_post_code
",inform,phone,01223 812660
HUMAN,"uh , thank you , good bye",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,cheap restaurant jo indian food serve kare,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_gandhi badiya restaurant hai serving indian food aur woh cheap price range me hai
",inform,pricerange,cheap
HUMAN,address kya hai,request,slot,addr
HUMAN,"Bilkul , the_gandhi the_gandhi_address par hai
",request,slot,addr
HUMAN,Phone number kya hain,request,slot,phone
BOT,"the_gandhi ka phone number hai the_gandhi_phone
",inform,phone,01223 353942
HUMAN,uh kya hai,request,slot,phone
BOT,"kohinoor badiya restaurant hai serving indian food aur woh cheap price range me hai
",inform,pricerange,cheap
HUMAN,woh kis area mein hai,inform,area,north
BOT,"centre nagar me is kohinoor acha jagah tha
",inform,area,centre
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,tuscan khana,inform,food,tuscan
BOT,"Kya aap cheap , moderate , ya expensive price range mein kuchh pasand karenge ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie ki price range moderate hai
",inform,pricerange,moderate
HUMAN,kya mujhe phone number milega,request,slot,phone
BOT,"riverside_brasserie ka phone number hai riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"ask ki price range cheap hai
",inform,pricerange,cheap
HUMAN,phone number,ack,,
BOT,"ask ka phone number hai ask_phone
",inform,phone,01223 364917
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,kosher ke liye central me,inform,area,centre
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town ke iss centre me koi bhi kosher restaurant nahi hai .
",canthelp,"area, food","centre, kosher"
HUMAN,korean food,inform,food,korean
HUMAN,<SILENCE>,silence,,
BOT,"little_seoul ek achha restaurant hai nagar ke centre bhaag mein jo korean khana serve karta hai
",inform,area,centre
HUMAN,pata,ack,,
BOT,"Bilkul , little_seoul little_seoul_address par hai
",inform,phone,01223 308681
HUMAN,phone number,ack,,
BOT,"little_seoul ka phone number hai little_seoul_phone
",inform,phone,01223 308681
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,town ka north part,inform,this,dontcare
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,north,inform,area,north
BOT,"Kya aap cheap , moderate , ya expensive price range mein kuchh pasand karenge ?
",request,slot,pricerange
HUMAN,cheap,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"royal_spice ek acha restaurant hai town ka north mein aur cheap price range mein
",inform,area,north
HUMAN,phone number,ack,,
BOT,"royal_spice ka phone number hai royal_spice_phone
",inform,phone,01733 553355
HUMAN,khana,thankyou,,
BOT,"royal_spice ek acha restaurant hai town ka north mein aur cheap price range mein
",inform,area,north
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,traditional,inform,food,traditional
BOT,"sorry but yahan koi bhi traditional restaurant nahin hai jo aapki request ko match kare
",canthelp,food,traditional
HUMAN,italian food,inform,food,italian
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,south,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_cherry_hinton ek achha restaurant hai nagar ke south bhaag mein jo italian khana serve karta hai
",inform,area,south
HUMAN,phone number,ack,,
BOT,"pizza_hut_cherry_hinton ka phone number hai pizza_hut_cherry_hinton_phone
",inform,phone,01223 323737
HUMAN,post code,affirm,,
BOT,"pizza_hut_cherry_hinton ka post code hai pizza_hut_cherry_hinton_post_code
",inform,phone,01223 323737
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,moderate restaurant,inform,pricerange,moderate
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,parvah nahin,inform,this,dontcare
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,austrian,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"Sorry moderate price range me koi austrian restaurant nahi hai
",canthelp,"pricerange, food","moderate, austrian"
HUMAN,ek chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"golden_wok ek achha restaurant hai nagar ke north bhaag mein jo chinese khana serve karta hai
",inform,area,north
HUMAN,phone number,ack,,
BOT,"golden_wok ka phone number hai golden_wok_phone
",inform,phone,01223 350688
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,west,inform,area,west
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,parvah nahin,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"charlie_chan badiya restaurant hai serving chinese food aur woh cheap price range me hai
",inform,pricerange,cheap
HUMAN,pata,ack,,
BOT,"Bilkul , charlie_chan charlie_chan_address par hai
",inform,phone,01223 361763
HUMAN,phone number,ack,,
BOT,"charlie_chan ka phone number hai charlie_chan_phone
",inform,phone,01223 361763
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,thai food,inform,food,thai
HUMAN,<SILENCE>,silence,,
BOT,"bangkok_city thai khana serve karte hain .
",inform,food,thai
HUMAN,pata,ack,,
BOT,"Bilkul , bangkok_city bangkok_city_address par hai
",inform,addr,24 green street city centre
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,italian food,inform,food,italian
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_fen_ditton ek achha restaurant hai nagar ke east bhaag mein jo italian khana serve karta hai
",inform,area,east
HUMAN,phone number,ack,,
BOT,"aap restaurant dhund rahe hai na ?
",confirm-domain,,
HUMAN,phone number,ack,,
BOT,"kya main aapki aur kuch madad kar sakta hu ?
",reqmore,,
HUMAN,italian food,inform,food,italian
BOT,"pizza_hut_fen_ditton ek achha restaurant hai nagar ke east bhaag mein jo italian khana serve karta hai
",inform,area,east
HUMAN,phone number,ack,,
BOT,"kya main aapki aur kuch madad kar sakta hu ?
",reqmore,,
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,north,inform,area,north
BOT,"Aap kaunse type ka food lene chahege ?
",request,slot,food
HUMAN,gastropub,inform,food,gastropub
HUMAN,<SILENCE>,silence,,
BOT,"sorry town ki north me koi gastropub restaurant nahin hai
",canthelp,"area, food","north, gastropub"
HUMAN,chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"hakka ek achha restaurant hai nagar ke north bhaag mein jo chinese khana serve karta hai
",inform,area,north
HUMAN,phone number,ack,,
BOT,"hakka ka phone number hai hakka_phone
",inform,phone,01223 568988
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"aapke mind me town ka kaun sa part hai ?
",request,slot,area
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock ek badiya restaurant hai
",offer,name,the missing sock
HUMAN,european food,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"galleria european khana serve karte hain .
",inform,food,european
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but aapke request se match karnewala koi world restaurant nahi hain .
",canthelp,food,world
HUMAN,<SILENCE>,silence,,
BOT,"Koi bhi restaurant world food serve nahi kar raha hai . Aapko ko kaunsa area chaiye
",impl-conf,food,world
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"sorry but yahan koi bhi world restaurant cheap range me nahin hai
",canthelp,"pricerange, food","cheap, world"
HUMAN,goodbye,ack,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,Muje west part of town me moderately priced restaurant pasand hoga .,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ek acha restaurant hai town ka west mein aur moderate price range mein
",inform,area,west
HUMAN,address aur phone number kya hai,request,slot,phone
BOT,"prezzo ka phone number hai prezzo_phone
",inform,phone,01799 521260
HUMAN,thank you goodbye,bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,mein town north mein cheap restaurant dekh raha hoon,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria ek acha restaurant hai town ka north mein aur cheap price range mein
",inform,area,north
HUMAN,aur kuch,repeat,,
BOT,"aap restaurant dhund rahe hai na ?
",confirm-domain,,
HUMAN,aur kuch,repeat,,
BOT,"da_vinci_pizzeria ek acha restaurant hai town ka north mein aur cheap price range mein
",inform,area,north
HUMAN,address kya hai,request,slot,addr
BOT,"Bilkul , da_vinci_pizzeria da_vinci_pizzeria_address par hai
",inform,phone,01223 351707
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,Main west part of town mein ek moderately priced restaurant dhund raha hoon .,inform,pricerange,moderate
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ek acha restaurant hai town ka west mein aur moderate price range mein
",inform,area,west
HUMAN,address aur post code kya hai,request,slot,addr
HUMAN,"prezzo prezzo_address me hai
",ack,,
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system mein aapka swagat hai . Aap pa sakte hai restaurant by area , price range ya food type . Aap ko kaise help kar sakta hu main ?
",welcomemsg,,
HUMAN,mein town west mein moderately priced restaurant chahata hoon,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ek acha restaurant hai town ka west mein aur moderate price range mein
",inform,area,west
HUMAN,phone number aur address kya hai,request,slot,phone
BOT,"prezzo ka phone number hai prezzo_phone
",inform,phone,01799 521260
HUMAN,"Thank you , good bye .",bye,,
BOT,"Welcome , alvida
",bye,,
