,0,1,2,3,4
119,HUMAN,center,affirm,,
120,HUMAN,<SILENCE>,silence,,
121,BOT,"Sorry there is no cheap restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
122,HUMAN,moderate,reqalts,,
123,HUMAN,<SILENCE>,silence,,
124,BOT,"Sorry there is no moderate restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
125,HUMAN,north,inform,area,north
126,HUMAN,<SILENCE>,silence,,
127,BOT,"Sorry there is no moderate restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
128,HUMAN,east,affirm,,
129,HUMAN,<SILENCE>,silence,,
130,BOT,"Sorry there is no moderate restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
131,HUMAN,thank you goodbye,bye,,
132,BOT," you are welcome
",bye,,
133,HUMAN,<SILENCE>,silence,,
134,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
135,HUMAN,restaurant any area kosher food,inform,area,dontcare
136,BOT,"What kind of food would you like ?
",request,slot,food
137,HUMAN,kosher,inform,food,kosher
138,HUMAN,<SILENCE>,silence,,
139,BOT,"cote is a nice restaurant in the centre of town serving french food
",inform,area,centre
140,HUMAN,type of food,request,slot,area
141,BOT,"cote is a great restaurant
",offer,name,cote
142,HUMAN,phone number,ack,,
143,BOT,"The phone number of cote is cote_phone
",inform,phone,01223 311053
144,HUMAN,thank you good bye,bye,,
145,BOT," you are welcome
",bye,,
146,HUMAN,<SILENCE>,silence,,
147,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
148,HUMAN,creative food,inform,food,creative
149,BOT,"I am sorry but there is no creative restaurant that matches your request
",canthelp,food,creative
150,HUMAN,modern_european,inform,food,modern european
151,BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
152,HUMAN,moderate,reqalts,,
153,HUMAN,<SILENCE>,silence,,
154,BOT,"riverside_brasserie is a great restaurant serving modern_european food and it is in the moderate price range
",inform,pricerange,moderate
155,HUMAN,address,ack,,
156,HUMAN,<SILENCE>,silence,,
157,BOT,"Sure , riverside_brasserie is on riverside_brasserie_address
",inform,phone,01223 259988
158,HUMAN,<SILENCE>,silence,,
159,BOT,"riverside_brasserie is a great restaurant serving modern_european food and it is in the moderate price range
",inform,pricerange,moderate
160,HUMAN,address,ack,,
161,BOT,"Sure , riverside_brasserie is on riverside_brasserie_address
",inform,phone,01223 259988
162,HUMAN,phone number,ack,,
163,BOT,"The phone number of riverside_brasserie is riverside_brasserie_phone
",inform,phone,01223 259988
164,HUMAN,thank you good bye,bye,,
165,BOT," you are welcome
",bye,,
166,HUMAN,<SILENCE>,silence,,
167,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
168,HUMAN,cheap restaurant in the north part of town,inform,area,north
169,HUMAN,<SILENCE>,silence,,
170,BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
171,HUMAN,what is the address,request,slot,addr
172,BOT,"Sure , da_vinci_pizzeria is on da_vinci_pizzeria_address
",inform,phone,01223 351707
173,HUMAN,thank you good bye,bye,,
174,BOT," you are welcome
",bye,,
175,HUMAN,<SILENCE>,silence,,
176,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
177,HUMAN,cheap restaurant in the south part of town,inform,pricerange,cheap
178,HUMAN,<SILENCE>,silence,,
179,BOT,"the_lucky_star is a nice restaurant in the south of town in the cheap price range
",inform,area,south
180,HUMAN,anything else,affirm,,
181,BOT,"nandos is a nice restaurant in the south of town in the cheap price range
",inform,area,south
182,HUMAN,what is the address,request,slot,addr
183,HUMAN,"Sure , nandos is on nandos_address
",request,slot,phone
184,HUMAN,what type of food is it,request,slot,area
185,BOT,"nandos serves portuguese food
",inform,food,portuguese
186,HUMAN,thank you good bye,bye,,
187,BOT," you are welcome
",bye,,
188,HUMAN,<SILENCE>,silence,,
189,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
190,HUMAN,caribbean food,inform,food,caribbean
191,BOT,"I am sorry but there is no caribbean restaurant that matches your request
",canthelp,food,caribbean
192,HUMAN,british food,inform,food,british
193,BOT,"What part of town do you have in mind ?
",request,slot,area
194,HUMAN,i dont care,inform,this,dontcare
195,BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
196,HUMAN,moderate,reqalts,,
197,HUMAN,<SILENCE>,silence,,
198,BOT,"saint_johns_chop_house is a nice restaurant in the west of town serving british food
",inform,area,west
199,HUMAN,what is the phone number,request,slot,phone
200,BOT,"The phone number of saint_johns_chop_house is saint_johns_chop_house_phone
",inform,phone,01223 353110
201,HUMAN,thank you good bye,bye,,
202,BOT," you are welcome
",bye,,
203,HUMAN,<SILENCE>,silence,,
204,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
205,HUMAN,international food,inform,food,international
206,BOT,"What kind of food would you like ?
",request,slot,food
207,HUMAN,international,inform,food,international
208,HUMAN,<SILENCE>,silence,,
209,BOT,"the_missing_sock serves international food .
",inform,food,international
210,HUMAN,what is the phone number,request,slot,phone
211,BOT,"The phone number of the_missing_sock is the_missing_sock_phone
",inform,phone,01223 812660
212,HUMAN,what is the post code,request,slot,postcode
213,BOT,"The post code of the_missing_sock is the_missing_sock_post_code
",inform,phone,01223 812660
214,HUMAN,uh thank you good bye,bye,,
215,BOT," you are welcome
",bye,,
216,HUMAN,<SILENCE>,silence,,
217,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
218,HUMAN,cheap restaurant serving indian food,inform,pricerange,cheap
219,HUMAN,<SILENCE>,silence,,
220,BOT,"the_gandhi is a great restaurant serving indian food and it is in the cheap price range
",inform,pricerange,cheap
221,HUMAN,what is the address,request,slot,addr
222,HUMAN,"Sure , the_gandhi is on the_gandhi_address
",request,slot,addr
223,HUMAN,what is the phone number,request,slot,phone
224,BOT,"The phone number of the_gandhi is the_gandhi_phone
",inform,phone,01223 353942
225,HUMAN,uh what is the,request,slot,phone
226,BOT,"kohinoor is a great restaurant serving indian food and it is in the cheap price range
",inform,pricerange,cheap
227,HUMAN,what area is it in,inform,area,north
228,BOT,"kohinoor is a nice place in the centre of town
",inform,area,centre
229,HUMAN,thank you good bye,bye,,
230,BOT," you are welcome
",bye,,
231,HUMAN,<SILENCE>,silence,,
232,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
233,HUMAN,tuscan food,inform,food,tuscan
234,BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
235,HUMAN,moderate,reqalts,,
236,BOT,"What part of town do you have in mind ?
",request,slot,area
237,HUMAN,west,inform,area,west
238,HUMAN,<SILENCE>,silence,,
239,BOT,"The price range at riverside_brasserie is moderate .
",inform,pricerange,moderate
240,HUMAN,may i have the phone number,request,slot,phone
241,BOT,"The phone number of riverside_brasserie is riverside_brasserie_phone
",inform,phone,01223 259988
242,HUMAN,<SILENCE>,silence,,
243,BOT,"The price range at ask is cheap .
",inform,pricerange,cheap
244,HUMAN,phone number,ack,,
245,BOT,"The phone number of ask is ask_phone
",inform,phone,01223 364917
246,HUMAN,thank you good bye,bye,,
247,BOT," you are welcome
",bye,,
248,HUMAN,<SILENCE>,silence,,
249,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
250,HUMAN,kosher for in the central,inform,area,centre
251,HUMAN,<SILENCE>,silence,,
252,BOT,"Sorry there is no kosher restaurant in the centre of town
",canthelp,"area, food","centre, kosher"
253,HUMAN,korean food,inform,food,korean
254,HUMAN,<SILENCE>,silence,,
255,BOT,"little_seoul is a nice restaurant in the centre of town serving korean food
",inform,area,centre
256,HUMAN,address,ack,,
257,BOT,"Sure , little_seoul is on little_seoul_address
",inform,phone,01223 308681
258,HUMAN,phone number,ack,,
259,BOT,"The phone number of little_seoul is little_seoul_phone
",inform,phone,01223 308681
260,HUMAN,thank you good bye,bye,,
261,BOT," you are welcome
",bye,,
262,HUMAN,<SILENCE>,silence,,
263,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
264,HUMAN,north part of town,inform,this,dontcare
265,BOT,"What part of town do you have in mind ?
",request,slot,area
266,HUMAN,north,inform,area,north
267,BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
268,HUMAN,cheap,inform,pricerange,cheap
269,HUMAN,<SILENCE>,silence,,
270,BOT,"royal_spice is a nice restaurant in the north of town in the cheap price range
",inform,area,north
271,HUMAN,phone number,ack,,
272,BOT,"The phone number of royal_spice is royal_spice_phone
",inform,phone,01733 553355
273,HUMAN,food,thankyou,,
274,BOT,"royal_spice is a nice restaurant in the north of town in the cheap price range
",inform,area,north
275,HUMAN,thank you good bye,bye,,
276,BOT," you are welcome
",bye,,
277,HUMAN,<SILENCE>,silence,,
278,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
279,HUMAN,traditional,inform,food,traditional
280,BOT,"I am sorry but there is no traditional restaurant that matches your request
",canthelp,food,traditional
281,HUMAN,italian food,inform,food,italian
282,BOT,"What part of town do you have in mind ?
",request,slot,area
283,HUMAN,south,inform,area,south
284,HUMAN,<SILENCE>,silence,,
285,BOT,"pizza_hut_cherry_hinton is a nice restaurant in the south of town serving italian food
",inform,area,south
286,HUMAN,phone number,ack,,
287,BOT,"The phone number of pizza_hut_cherry_hinton is pizza_hut_cherry_hinton_phone
",inform,phone,01223 323737
288,HUMAN,post code,affirm,,
289,BOT,"The post code of pizza_hut_cherry_hinton is pizza_hut_cherry_hinton_post_code
",inform,phone,01223 323737
290,HUMAN,thank you good bye,bye,,
291,BOT," you are welcome
",bye,,
292,HUMAN,<SILENCE>,silence,,
293,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
294,HUMAN,moderate restaurant,inform,pricerange,moderate
295,BOT,"What part of town do you have in mind ?
",request,slot,area
296,HUMAN,dont care,inform,this,dontcare
297,BOT,"What kind of food would you like ?
",request,slot,food
298,HUMAN,austrian,inform,area,south
299,HUMAN,<SILENCE>,silence,,
300,BOT,"Sorry there is no austrian restaurant in the moderate price range
",canthelp,"pricerange, food","moderate, austrian"
301,HUMAN,a chinese,inform,food,chinese
302,HUMAN,<SILENCE>,silence,,
303,BOT,"golden_wok is a nice restaurant in the north of town serving chinese food
",inform,area,north
304,HUMAN,phone number,ack,,
305,BOT,"The phone number of golden_wok is golden_wok_phone
",inform,phone,01223 350688
306,HUMAN,thank you good bye,bye,,
307,BOT," you are welcome
",bye,,
308,HUMAN,<SILENCE>,silence,,
309,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
310,HUMAN,cheap restaurant,inform,pricerange,cheap
311,BOT,"What part of town do you have in mind ?
",request,slot,area
312,HUMAN,west,inform,area,west
313,BOT,"What kind of food would you like ?
",request,slot,food
314,HUMAN,dont care,inform,this,dontcare
315,HUMAN,<SILENCE>,silence,,
316,BOT,"charlie_chan is a great restaurant serving chinese food and it is in the cheap price range
",inform,pricerange,cheap
317,HUMAN,address,ack,,
318,BOT,"Sure , charlie_chan is on charlie_chan_address
",inform,phone,01223 361763
319,HUMAN,phone number,ack,,
320,BOT,"The phone number of charlie_chan is charlie_chan_phone
",inform,phone,01223 361763
321,HUMAN,thank you good bye,bye,,
322,BOT," you are welcome
",bye,,
323,HUMAN,<SILENCE>,silence,,
324,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
325,HUMAN,thai food,inform,food,thai
326,HUMAN,<SILENCE>,silence,,
327,BOT,"bangkok_city serves thai food .
",inform,food,thai
328,HUMAN,address,ack,,
329,BOT,"Sure , bangkok_city is on bangkok_city_address
",inform,addr,24 green street city centre
330,HUMAN,thank you good bye,bye,,
331,BOT," you are welcome
",bye,,
332,HUMAN,<SILENCE>,silence,,
333,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
334,HUMAN,italian food,inform,food,italian
335,BOT,"What part of town do you have in mind ?
",request,slot,area
336,HUMAN,east,affirm,,
337,HUMAN,<SILENCE>,silence,,
338,BOT,"pizza_hut_fen_ditton is a nice restaurant in the east of town serving italian food
",inform,area,east
339,HUMAN,phone number,ack,,
340,BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
341,HUMAN,phone number,ack,,
342,BOT,"Can I help you with anything else ?
",reqmore,,
343,HUMAN,italian food,inform,food,italian
344,BOT,"pizza_hut_fen_ditton is a nice restaurant in the east of town serving italian food
",inform,area,east
345,HUMAN,phone number,ack,,
346,BOT,"Can I help you with anything else ?
",reqmore,,
347,HUMAN,thank you good bye,bye,,
348,BOT," you are welcome
",bye,,
349,HUMAN,<SILENCE>,silence,,
350,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
351,HUMAN,north,inform,area,north
352,BOT,"What kind of food would you like ?
",request,slot,food
353,HUMAN,gastropub,inform,food,gastropub
354,HUMAN,<SILENCE>,silence,,
355,BOT,"Sorry there is no gastropub restaurant in the north of town
",canthelp,"area, food","north, gastropub"
356,HUMAN,chinese,inform,food,chinese
357,HUMAN,<SILENCE>,silence,,
358,BOT,"hakka is a nice restaurant in the north of town serving chinese food
",inform,area,north
359,HUMAN,phone number,ack,,
360,BOT,"The phone number of hakka is hakka_phone
",inform,phone,01223 568988
361,HUMAN,thank you good bye,bye,,
362,BOT," you are welcome
",bye,,
363,HUMAN,<SILENCE>,silence,,
364,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
365,HUMAN,<SILENCE>,silence,,
366,BOT,"What part of town do you have in mind ?
",request,slot,area
367,HUMAN,<SILENCE>,silence,,
368,HUMAN,<SILENCE>,silence,,
369,BOT,"the_missing_sock is a great restaurant
",offer,name,the missing sock
370,HUMAN,european food,inform,food,european
371,HUMAN,<SILENCE>,silence,,
372,BOT,"galleria serves european food .
",inform,food,european
373,HUMAN,thank you good bye,bye,,
374,BOT," you are welcome
",bye,,
375,HUMAN,<SILENCE>,silence,,
376,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
377,HUMAN,<SILENCE>,silence,,
378,BOT,"I am sorry but there is no world restaurant that matches your request
",canthelp,food,world
379,HUMAN,<SILENCE>,silence,,
380,BOT,"There are restaurants serving world food . What area do you want ?
",impl-conf,food,world
381,HUMAN,<SILENCE>,silence,,
382,HUMAN,<SILENCE>,silence,,
383,BOT,"Sorry there is no world restaurant in the cheap price range
",canthelp,"pricerange, food","cheap, world"
384,HUMAN,goodbye,ack,,
385,BOT," you are welcome
",bye,,
386,HUMAN,<SILENCE>,silence,,
387,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
388,HUMAN,id like to find a moderately priced restaurant in the west part of town,inform,area,west
389,HUMAN,<SILENCE>,silence,,
390,BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
391,HUMAN,what is the address and phone number,request,slot,phone
392,BOT,"The phone number of prezzo is prezzo_phone
",inform,phone,01799 521260
393,HUMAN,thank you goodbye,bye,,
394,BOT," you are welcome
",bye,,
395,HUMAN,<SILENCE>,silence,,
396,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
397,HUMAN,im looking for a cheap restaurant in the north of town,inform,area,north
398,HUMAN,<SILENCE>,silence,,
399,BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
400,HUMAN,is there anything else,repeat,,
401,BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
402,HUMAN,is there anything else,repeat,,
403,BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
404,HUMAN,what is the address,request,slot,addr
405,BOT,"Sure , da_vinci_pizzeria is on da_vinci_pizzeria_address
",inform,phone,01223 351707
406,HUMAN,thank you good bye,bye,,
407,BOT," you are welcome
",bye,,
408,HUMAN,<SILENCE>,silence,,
409,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
410,HUMAN,im looking for a moderately priced restaurant in the west part of town,inform,pricerange,moderate
411,HUMAN,<SILENCE>,silence,,
412,BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
413,HUMAN,what is the address and post code,request,slot,addr
414,HUMAN,"prezzo is on prezzo_address
",ack,,
415,HUMAN,thank you good bye,bye,,
416,BOT," you are welcome
",bye,,
417,HUMAN,<SILENCE>,silence,,
418,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
419,HUMAN,id like to find a moderately priced restaurant in the west of town,inform,area,west
420,HUMAN,<SILENCE>,silence,,
421,BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
422,HUMAN,what is the phone number and address,request,slot,phone
423,BOT,"The phone number of prezzo is prezzo_phone
",inform,phone,01799 521260
424,HUMAN,thank you good bye,bye,,
425,BOT," you are welcome
",bye,,
426,HUMAN,<SILENCE>,silence,,
427,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
428,HUMAN,cheap restaurant,inform,pricerange,cheap
429,BOT,"What part of town do you have in mind ?
",request,slot,area
430,HUMAN,west part,inform,area,west
431,HUMAN,<SILENCE>,silence,,
432,BOT,"thanh_binh is a nice restaurant in the west of town in the cheap price range
",inform,area,west
433,HUMAN,okay show me the address,request,slot,addr
434,HUMAN,<SILENCE>,silence,,
435,BOT,"Sure , thanh_binh is on thanh_binh_address
",inform,phone,01223 362456
436,HUMAN,phone number,ack,,
437,BOT,"The phone number of thanh_binh is thanh_binh_phone
",inform,phone,01223 362456
438,HUMAN,post code,affirm,,
439,BOT,"The post code of thanh_binh is thanh_binh_post_code
",inform,phone,01223 362456
440,HUMAN,okay good bye,affirm,,
441,BOT," you are welcome
",bye,,
442,HUMAN,<SILENCE>,silence,,
443,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
444,HUMAN,im looking at a cheap restaurant and it should be,inform,pricerange,cheap
445,BOT,"What part of town do you have in mind ?
",request,slot,area
446,HUMAN,west,inform,area,west
447,HUMAN,<SILENCE>,silence,,
448,BOT,"la_margherita is a nice restaurant in the west of town in the cheap price range
",inform,area,west
449,HUMAN,okay please give me the phone number,request,slot,phone
450,BOT,"The phone number of la_margherita is la_margherita_phone
",inform,phone,01223 315232
451,HUMAN,okay thank you good bye,bye,,
452,BOT," you are welcome
",bye,,
453,HUMAN,<SILENCE>,silence,,
454,BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
455,HUMAN,i want to find a rest,ack,,
456,BOT,"What kind of food would you like ?
",request,slot,food
457,HUMAN,a vietnamese,inform,food,vietnamese
458,HUMAN,<SILENCE>,silence,,
459,BOT,"frankie_and_bennys is a great restaurant
",offer,name,frankie and bennys
460,HUMAN,vietnamese food,inform,food,vietnamese
461,BOT,"thanh_binh serves vietnamese food .
",inform,food,vietnamese
462,HUMAN,uh,repeat,,
