Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,Enakku address apparum phone number kidaikkuma ?,request,slot,addr
BOT,"Sure. pizza_hut_city_centre pizza_hut_city_centre_address la irukku.
",inform,addr,regent street city centre
HUMAN,and the phone number please,request,slot,phone
BOT,"pizza_hut_city_centre oda phone number pizza_hut_city_centre_phone
",inform,phone,01223 323737
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,any price range la canapes food parthukkondirukkiren.,inform,pricerange,dontcare
BOT,"Sorry. Ungal request ku etha maathiri entha canapes restaurant um illai
",canthelp,food,canapes
HUMAN,european epdi,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"michaelhouse_cafe european food serve panra pramadhamana restaurant. Adhu expensive price range la irukku.
",inform,pricerange,expensive
HUMAN,oru saapadu,thankyou,,
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,ethavthu oru part of town,inform,area,dontcare
BOT,"michaelhouse_cafe serves european food .
",inform,food,european
HUMAN,Enakku address apparum phone number kidaikkuma ?,request,slot,addr
BOT,"michaelhouse_cafe oda phone number michaelhouse_cafe_phone
",inform,phone,01223 309147
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,theditiruken,inform,this,dontcare
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,moderately priced,inform,pricerange,moderate
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,any kind north part of town la,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"the_nirala north of town la irukkura indian food serve panra nalla restaurant
",inform,area,north
HUMAN,price range,request,slot,postcode
BOT,"the_nirala moderate price range la irukku
",inform,pricerange,moderate
HUMAN,phone number en kita kuduka mudiyuma ?,request,slot,phone
BOT,"the_nirala oda phone number the_nirala_phone
",inform,phone,01223 360966
HUMAN,nandri goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,north part of town turkish food,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. north la entha turkish restaurant um illai 
",canthelp,"area, food","north, turkish"
HUMAN,asian_oriental epdi,inform,food,asian oriental
BOT,"saigon_city north of town la irukkura asian_oriental food serve panra nalla restaurant
",inform,area,north
HUMAN,Enakku address apparum phone number kidaikkuma ?,request,slot,addr
BOT,"Sure. saigon_city saigon_city_address la irukku.
",inform,phone,01223 356555
HUMAN,and the phone number please,request,slot,phone
BOT,"saigon_city oda phone number saigon_city_phone
",inform,phone,01223 356555
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,mayam,affirm,,
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,<SILENCE>,silence,,
BOT,"Ungaluku restaurant thaane venum ?
",confirm-domain,,
HUMAN,vietnamese food,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock east of town la cheap price range la irukkura nalla restaurant
",inform,area,east
HUMAN,saapadu,thankyou,,
BOT,"Vera ethavathu help venuma ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"Sorry. east la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. north la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,mayam,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. centre la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. east la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north east,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. north la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,mayam,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. centre la cheap price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. centre la moderate price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. north la moderate price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. east la moderate price range la entha vietnamese restaurant um illai.
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
HUMAN,"Thank you , goodbye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,kosher restaurant food vera eruka,inform,area,dontcare
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,kosher,inform,food,kosher
HUMAN,<SILENCE>,silence,,
BOT,"cote centre of town la irukkura french food serve panra nalla restaurant
",inform,area,centre
HUMAN,type of food,request,slot,area
BOT,"cote pramadhamana restaurant
",offer,name,cote
HUMAN,phone number,ack,,
BOT,"cote oda phone number cote_phone
",inform,phone,01223 311053
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,creative food,inform,food,creative
BOT,"Sorry. Ungal request ku etha maathiri entha creative restaurant um illai
",canthelp,food,creative
HUMAN,modern_european,inform,food,modern european
BOT,"cheap illa moderate illa expensive price range la venuma ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie modern_european food serve panra pramadhamana restaurant. Adhu moderate price range la irukku.
",inform,pricerange,moderate
HUMAN,address,ack,,
HUMAN,<SILENCE>,silence,,
BOT,"Sure. riverside_brasserie riverside_brasserie_address la irukku.
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie modern_european food serve panra pramadhamana restaurant. Adhu moderate price range la irukku.
",inform,pricerange,moderate
HUMAN,address,ack,,
BOT,"Sure. riverside_brasserie riverside_brasserie_address la irukku.
",inform,phone,01223 259988
HUMAN,phone number,ack,,
BOT,"riverside_brasserie oda phone number riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant north part of town la,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria north of town la cheap price range la irukkura nalla restaurant
",inform,area,north
HUMAN,address enna,request,slot,addr
BOT,"Sure. da_vinci_pizzeria da_vinci_pizzeria_address la irukku.
",inform,phone,01223 351707
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant south part of town la,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_lucky_star south of town la cheap price range la irukkura nalla restaurant
",inform,area,south
HUMAN,vera ethavthu ?,affirm,,
BOT,"nandos south of town la cheap price range la irukkura nalla restaurant
",inform,area,south
HUMAN,address enna,request,slot,addr
HUMAN,"Sure. nandos nandos_address la irukku.
",request,slot,phone
HUMAN,ena type of food athu,request,slot,area
BOT,"nandos serves portuguese food
",inform,food,portuguese
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,caribbean food,inform,food,caribbean
BOT,"Sorry. Ungal request ku etha maathiri entha caribbean restaurant um illai
",canthelp,food,caribbean
HUMAN,british food,inform,food,british
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,Ennaku kavalai illai,inform,this,dontcare
BOT,"cheap illa moderate illa expensive price range la venuma ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"saint_johns_chop_house west of town la irukkura british food serve panra nalla restaurant
",inform,area,west
HUMAN,phone number ena,request,slot,phone
BOT,"saint_johns_chop_house oda phone number saint_johns_chop_house_phone
",inform,phone,01223 353110
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,international food,inform,food,international
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,international,inform,food,international
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock serves international food .
",inform,food,international
HUMAN,phone number ena,request,slot,phone
BOT,"the_missing_sock oda phone number the_missing_sock_phone
",inform,phone,01223 812660
HUMAN,post code enna,request,slot,postcode
BOT,"the_missing_sock oda post code the_missing_sock_post_code
",inform,phone,01223 812660
HUMAN,Nandri vanakkam,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant indian food kudukkanum,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_gandhi indian food serve panra pramadhamana restaurant. Adhu cheap price range la irukku.
",inform,pricerange,cheap
HUMAN,address enna,request,slot,addr
HUMAN,"Sure. the_gandhi the_gandhi_address la irukku.
",request,slot,addr
HUMAN,phone number ena,request,slot,phone
BOT,"the_gandhi oda phone number the_gandhi_phone
",inform,phone,01223 353942
HUMAN,ena ithu,request,slot,phone
BOT,"kohinoor indian food serve panra pramadhamana restaurant. Adhu cheap price range la irukku.
",inform,pricerange,cheap
HUMAN,entha area la irukku,inform,area,north
BOT,"kohinoor centre of town la irukkura nalla idam
",inform,area,centre
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,tuscan food,inform,food,tuscan
BOT,"cheap illa moderate illa expensive price range la venuma ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie oda price range moderate
",inform,pricerange,moderate
HUMAN,enaku phone number kediakuma,request,slot,phone
BOT,"riverside_brasserie oda phone number riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"ask oda price range cheap
",inform,pricerange,cheap
HUMAN,phone number,ack,,
BOT,"ask oda phone number ask_phone
",inform,phone,01223 364917
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,kosher central la,inform,area,centre
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. centre la entha kosher restaurant um illai 
",canthelp,"area, food","centre, kosher"
HUMAN,korean food,inform,food,korean
HUMAN,<SILENCE>,silence,,
BOT,"little_seoul centre of town la irukkura korean food serve panra nalla restaurant
",inform,area,centre
HUMAN,address,ack,,
BOT,"Sure. little_seoul little_seoul_address la irukku.
",inform,phone,01223 308681
HUMAN,phone number,ack,,
BOT,"little_seoul oda phone number little_seoul_phone
",inform,phone,01223 308681
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,north part of town,inform,this,dontcare
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,north,inform,area,north
BOT,"cheap illa moderate illa expensive price range la venuma ?
",request,slot,pricerange
HUMAN,cheap,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"royal_spice north of town la cheap price range la irukkura nalla restaurant
",inform,area,north
HUMAN,phone number,ack,,
BOT,"royal_spice oda phone number royal_spice_phone
",inform,phone,01733 553355
HUMAN,saapadu,thankyou,,
BOT,"royal_spice north of town la cheap price range la irukkura nalla restaurant
",inform,area,north
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,traditional,inform,food,traditional
BOT,"Sorry. Ungal request ku etha maathiri entha traditional restaurant um illai
",canthelp,food,traditional
HUMAN,italian food,inform,food,italian
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,south,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_cherry_hinton south of town la irukkura italian food serve panra nalla restaurant
",inform,area,south
HUMAN,phone number,ack,,
BOT,"pizza_hut_cherry_hinton oda phone number pizza_hut_cherry_hinton_phone
",inform,phone,01223 323737
HUMAN,post code,affirm,,
BOT,"pizza_hut_cherry_hinton oda post code pizza_hut_cherry_hinton_post_code
",inform,phone,01223 323737
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,moderate restaurant,inform,pricerange,moderate
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,kavalai illa,inform,this,dontcare
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,austrian,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. moderate price range la entha restaurant um illai
",canthelp,"pricerange, food","moderate, austrian"
HUMAN,a chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"golden_wok north of town la irukkura chinese food serve panra nalla restaurant
",inform,area,north
HUMAN,phone number,ack,,
BOT,"golden_wok oda phone number golden_wok_phone
",inform,phone,01223 350688
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,west,inform,area,west
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,kavalai illa,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"charlie_chan chinese food serve panra pramadhamana restaurant. Adhu cheap price range la irukku.
",inform,pricerange,cheap
HUMAN,address,ack,,
BOT,"Sure. charlie_chan charlie_chan_address la irukku.
",inform,phone,01223 361763
HUMAN,phone number,ack,,
BOT,"charlie_chan oda phone number charlie_chan_phone
",inform,phone,01223 361763
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,thai food,inform,food,thai
HUMAN,<SILENCE>,silence,,
BOT,"bangkok_city serves thai food .
",inform,food,thai
HUMAN,address,ack,,
BOT,"Sure. bangkok_city bangkok_city_address la irukku.
",inform,addr,24 green street city centre
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,italian food,inform,food,italian
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_fen_ditton east of town la irukkura italian food serve panra nalla restaurant
",inform,area,east
HUMAN,phone number,ack,,
BOT,"Ungaluku restaurant thaane venum ?
",confirm-domain,,
HUMAN,phone number,ack,,
BOT,"Vera ethavathu help venuma ?
",reqmore,,
HUMAN,italian food,inform,food,italian
BOT,"pizza_hut_fen_ditton east of town la irukkura italian food serve panra nalla restaurant
",inform,area,east
HUMAN,phone number,ack,,
BOT,"Vera ethavathu help venuma ?
",reqmore,,
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,north,inform,area,north
BOT,"Entha vithamana food venum ?
",request,slot,food
HUMAN,gastropub,inform,food,gastropub
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. north la entha gastropub restaurant um illai 
",canthelp,"area, food","north, gastropub"
HUMAN,chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"hakka north of town la irukkura chinese food serve panra nalla restaurant
",inform,area,north
HUMAN,phone number,ack,,
BOT,"hakka oda phone number hakka_phone
",inform,phone,01223 568988
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock pramadhamana restaurant
",offer,name,the missing sock
HUMAN,european food,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"galleria serves european food .
",inform,food,european
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. Ungal request ku etha maathiri entha world restaurant um illai
",canthelp,food,world
HUMAN,<SILENCE>,silence,,
BOT,"world food serve panra restaurants irukku. Entha area venum ?
",impl-conf,food,world
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry. cheap price range la entha restaurant um illai
",canthelp,"pricerange, food","cheap, world"
HUMAN,apram pakalam,ack,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,west part of town il moderately priced restaurant ondru theda virumbugiren.,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo west of town la moderate price range la irukkura nalla restaurant
",inform,area,west
HUMAN,Address appuram phone number enna,request,slot,phone
BOT,"prezzo oda phone number prezzo_phone
",inform,phone,01799 521260
HUMAN,"Thank you , goodbye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,north of town il oru cheap restaurant parkkuren.,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria north of town la cheap price range la irukkura nalla restaurant
",inform,area,north
HUMAN,vere edhaachu iruka,repeat,,
BOT,"Ungaluku restaurant thaane venum ?
",confirm-domain,,
HUMAN,vere edhaachu iruka,repeat,,
BOT,"da_vinci_pizzeria north of town la cheap price range la irukkura nalla restaurant
",inform,area,north
HUMAN,address enna,request,slot,addr
BOT,"Sure. da_vinci_pizzeria da_vinci_pizzeria_address la irukku.
",inform,phone,01223 351707
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,nan intha west part of town la oru moderately priced restaurant theditiruken,inform,pricerange,moderate
HUMAN,<SILENCE>,silence,,
BOT,"prezzo west of town la moderate price range la irukkura nalla restaurant
",inform,area,west
HUMAN,address post code enna,request,slot,addr
HUMAN,"prezzo prezzo_address la irukku
",ack,,
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,nan intha west of town la moderate price la oru restaurant kandupidika virumburen,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo west of town la moderate price range la irukkura nalla restaurant
",inform,area,west
HUMAN,Phone number and address enna,request,slot,phone
BOT,"prezzo oda phone number prezzo_phone
",inform,phone,01799 521260
HUMAN,"Thank you , good bye.",bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"Entha area mind la vechirukenga ?
",request,slot,area
HUMAN,west part,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"thanh_binh west of town la cheap price range la irukkura nalla restaurant
",inform,area,west
HUMAN,okay address kamega,request,slot,addr
HUMAN,<SILENCE>,silence,,
BOT,"Sure. thanh_binh thanh_binh_address la irukku.
",inform,phone,01223 362456
HUMAN,phone number,ack,,
BOT,"thanh_binh oda phone number thanh_binh_phone
",inform,phone,01223 362456
HUMAN,post code,affirm,,
BOT,"thanh_binh oda post code thanh_binh_post_code
",inform,phone,01223 362456
HUMAN,ok bye,affirm,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ungalai varaverkiradhu. Neengal thevayana ask ai price range , area , food type basis la thedalanam. Ungaluku enna uthavi vendum ?
",welcomemsg,,
HUMAN,nan cheap la restaurant theditiruken,inform,pricerange,cheap
