Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,jekono town er jekono part ey,inform,area,dontcare
BOT,"michaelhouse_cafe european khabar serve kore
",inform,food,european
HUMAN,ami ki address ar phone number nite pari please,request,slot,addr
BOT,"michaelhouse_cafe er phone number holo michaelhouse_cafe_phone
",inform,phone,01223 309147
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami khujchi ekta,inform,this,dontcare
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,moderate price er,inform,pricerange,moderate
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,jekono type town er north part ey,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"the_nirala ekta nice restaurant town er north ey jekhane indian khabar serve hoye
",inform,area,north
HUMAN,breath price range,request,slot,postcode
BOT,"the_nirala moderate price range ey pore
",inform,pricerange,moderate
HUMAN,breath ami ki phone number ta pete pari please,request,slot,phone
BOT,"the_nirala er phone number holo the_nirala_phone
",inform,phone,01223 360966
HUMAN,breath dhonnobaad goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,town er north part turkish khabar,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er north ey kono turkish restaurant nei
",canthelp,"area, food","north, turkish"
HUMAN,asian_oriental kemon hobe,inform,food,asian oriental
BOT,"saigon_city ekta nice restaurant town er north ey jekhane asian_oriental khabar serve hoye
",inform,area,north
HUMAN,ami ki address ar phone number nite pari please,request,slot,addr
BOT,"Sure , saigon_city er address holo saigon_city_address
",inform,phone,01223 356555
HUMAN,ar phone number ta please,request,slot,phone
BOT,"saigon_city er phone number holo saigon_city_phone
",inform,phone,01223 356555
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,center,affirm,,
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,<SILENCE>,silence,,
BOT,"apni ekta restaurant khujchen right ?
",confirm-domain,,
HUMAN,vietnamese khabar,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock ekta nice restaurant town er east ey jeta cheap price range ey pore
",inform,area,east
HUMAN,khabar,thankyou,,
BOT,"Ami ki apnake ar kichu tey help korte pari ?
",reqmore,,
HUMAN,vietnamese khabar,inform,food,vietnamese
BOT,"Sorry , but town er east ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er north ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er centre ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er east ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north east,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er north ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er centre ey kono cheap restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er centre ey kono moderate restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er north ey kono moderate restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er east ey kono moderate restaurant nei jeta vietnamese khabar serve kore
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,restaurant kono area ey kosher khabar,inform,area,dontcare
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,kosher,inform,food,kosher
HUMAN,<SILENCE>,silence,,
BOT,"cote ekta nice restaurant town er centre ey jekhane french khabar serve hoye
",inform,area,centre
HUMAN,khabar er type,request,slot,area
BOT,"cote ekta khub bhalo restaurant
",offer,name,cote
HUMAN,phone number,ack,,
BOT,"cote er phone number holo cote_phone
",inform,phone,01223 311053
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,creative khabar,inform,food,creative
BOT,"Sorry , but kono creative restaurant nei jeta apnar request er sathe match hochhe .
",canthelp,food,creative
HUMAN,modern_european,inform,food,modern european
BOT,"apni ki cheap , moderate na expensive price range ey chaichen ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie ekta khub bhalo restaurant jekhane modern_european khabar serve hoye ar eta moderate price range ey pore
",inform,pricerange,moderate
HUMAN,address,ack,,
HUMAN,<SILENCE>,silence,,
BOT,"Sure , riverside_brasserie er address holo riverside_brasserie_address
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie ekta khub bhalo restaurant jekhane modern_european khabar serve hoye ar eta moderate price range ey pore
",inform,pricerange,moderate
HUMAN,address,ack,,
BOT,"Sure , riverside_brasserie er address holo riverside_brasserie_address
",inform,phone,01223 259988
HUMAN,phone number,ack,,
BOT,"riverside_brasserie er phone number holo riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant town er north part ey,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria ekta nice restaurant town er north ey jeta cheap price range ey pore
",inform,area,north
HUMAN,address ta ki,request,slot,addr
BOT,"Sure , da_vinci_pizzeria er address holo da_vinci_pizzeria_address
",inform,phone,01223 351707
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant town er south part ey,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_lucky_star ekta nice restaurant town er south ey jeta cheap price range ey pore
",inform,area,south
HUMAN,ar onno kichu,affirm,,
BOT,"nandos ekta nice restaurant town er south ey jeta cheap price range ey pore
",inform,area,south
HUMAN,address ta ki,request,slot,addr
HUMAN,"Sure , nandos er address holo nandos_address
",request,slot,phone
HUMAN,eta ki type er khabar,request,slot,area
BOT,"nandos portuguese khabar serve kore
",inform,food,portuguese
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,caribbean khabar,inform,food,caribbean
BOT,"Sorry , but kono caribbean restaurant nei jeta apnar request er sathe match hochhe .
",canthelp,food,caribbean
HUMAN,british khabar,inform,food,british
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,ami care kori na,inform,this,dontcare
BOT,"apni ki cheap , moderate na expensive price range ey chaichen ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"saint_johns_chop_house ekta nice restaurant town er west ey jekhane british khabar serve hoye
",inform,area,west
HUMAN,phone number ta ki,request,slot,phone
BOT,"saint_johns_chop_house er phone number holo saint_johns_chop_house_phone
",inform,phone,01223 353110
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,international khabar,inform,food,international
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,international,inform,food,international
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock international khabar serve kore
",inform,food,international
HUMAN,phone number ta ki,request,slot,phone
BOT,"the_missing_sock er phone number holo the_missing_sock_phone
",inform,phone,01223 812660
HUMAN,post code ta ki,request,slot,postcode
BOT,"the_missing_sock er post code holo the_missing_sock_post_code
",inform,phone,01223 812660
HUMAN,uh thank you good bye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant jekhane indian khabar serve kora hoye,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_gandhi ekta khub bhalo restaurant jekhane indian khabar serve hoye ar eta cheap price range ey pore
",inform,pricerange,cheap
HUMAN,address ta ki,request,slot,addr
HUMAN,"Sure , the_gandhi er address holo the_gandhi_address
",request,slot,addr
HUMAN,phone number ta ki,request,slot,phone
BOT,"the_gandhi er phone number holo the_gandhi_phone
",inform,phone,01223 353942
HUMAN,uh ota ki,request,slot,phone
BOT,"kohinoor ekta khub bhalo restaurant jekhane indian khabar serve hoye ar eta cheap price range ey pore
",inform,pricerange,cheap
HUMAN,eta kon area te,inform,area,north
BOT,"kohinoor ekta nice jayega town er centre ey
",inform,area,centre
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,tuscan khabar,inform,food,tuscan
BOT,"apni ki cheap , moderate na expensive price range ey chaichen ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie er price range holo moderate
",inform,pricerange,moderate
HUMAN,ami ki otar phone number nite pari,request,slot,phone
BOT,"riverside_brasserie er phone number holo riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"ask er price range holo cheap
",inform,pricerange,cheap
HUMAN,phone number,ack,,
BOT,"ask er phone number holo ask_phone
",inform,phone,01223 364917
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,kosher khabar central ey,inform,area,centre
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er centre ey kono kosher restaurant nei
",canthelp,"area, food","centre, kosher"
HUMAN,korean khabar,inform,food,korean
HUMAN,<SILENCE>,silence,,
BOT,"little_seoul ekta nice restaurant town er centre ey jekhane korean khabar serve hoye
",inform,area,centre
HUMAN,address,ack,,
BOT,"Sure , little_seoul er address holo little_seoul_address
",inform,phone,01223 308681
HUMAN,phone number,ack,,
BOT,"little_seoul er phone number holo little_seoul_phone
",inform,phone,01223 308681
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,town er north part,inform,this,dontcare
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,north,inform,area,north
BOT,"apni ki cheap , moderate na expensive price range ey chaichen ?
",request,slot,pricerange
HUMAN,cheap,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"royal_spice ekta nice restaurant town er north ey jeta cheap price range ey pore
",inform,area,north
HUMAN,phone number,ack,,
BOT,"royal_spice er phone number holo royal_spice_phone
",inform,phone,01733 553355
HUMAN,khabar,thankyou,,
BOT,"royal_spice ekta nice restaurant town er north ey jeta cheap price range ey pore
",inform,area,north
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,traditional,inform,food,traditional
BOT,"Sorry , but kono traditional restaurant nei jeta apnar request er sathe match hochhe .
",canthelp,food,traditional
HUMAN,italian khabar,inform,food,italian
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,south,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_cherry_hinton ekta nice restaurant town er south ey jekhane italian khabar serve hoye
",inform,area,south
HUMAN,phone number,ack,,
BOT,"pizza_hut_cherry_hinton er phone number holo pizza_hut_cherry_hinton_phone
",inform,phone,01223 323737
HUMAN,post code,affirm,,
BOT,"pizza_hut_cherry_hinton er post code holo pizza_hut_cherry_hinton_post_code
",inform,phone,01223 323737
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,moderate restaurant,inform,pricerange,moderate
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,care kori na,inform,this,dontcare
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,austrian,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but kono moderate price range ey austrian restaurant nei
",canthelp,"pricerange, food","moderate, austrian"
HUMAN,ekta chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"golden_wok ekta nice restaurant town er north ey jekhane chinese khabar serve hoye
",inform,area,north
HUMAN,phone number,ack,,
BOT,"golden_wok er phone number holo golden_wok_phone
",inform,phone,01223 350688
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,west,inform,area,west
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,care kori na,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"charlie_chan ekta khub bhalo restaurant jekhane chinese khabar serve hoye ar eta cheap price range ey pore
",inform,pricerange,cheap
HUMAN,address,ack,,
BOT,"Sure , charlie_chan er address holo charlie_chan_address
",inform,phone,01223 361763
HUMAN,phone number,ack,,
BOT,"charlie_chan er phone number holo charlie_chan_phone
",inform,phone,01223 361763
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,thai khabar,inform,food,thai
HUMAN,<SILENCE>,silence,,
BOT,"bangkok_city thai khabar serve kore
",inform,food,thai
HUMAN,address,ack,,
BOT,"Sure , bangkok_city er address holo bangkok_city_address
",inform,addr,24 green street city centre
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,italian khabar,inform,food,italian
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_fen_ditton ekta nice restaurant town er east ey jekhane italian khabar serve hoye
",inform,area,east
HUMAN,phone number,ack,,
BOT,"apni ekta restaurant khujchen right ?
",confirm-domain,,
HUMAN,phone number,ack,,
BOT,"Ami ki apnake ar kichu tey help korte pari ?
",reqmore,,
HUMAN,italian khabar,inform,food,italian
BOT,"pizza_hut_fen_ditton ekta nice restaurant town er east ey jekhane italian khabar serve hoye
",inform,area,east
HUMAN,phone number,ack,,
BOT,"Ami ki apnake ar kichu tey help korte pari ?
",reqmore,,
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,north,inform,area,north
BOT,"Kon type er khabar apni pochondo korben ?
",request,slot,food
HUMAN,gastropub,inform,food,gastropub
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but town er north ey kono gastropub restaurant nei
",canthelp,"area, food","north, gastropub"
HUMAN,chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"hakka ekta nice restaurant town er north ey jekhane chinese khabar serve hoye
",inform,area,north
HUMAN,phone number,ack,,
BOT,"hakka er phone number holo hakka_phone
",inform,phone,01223 568988
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock ekta khub bhalo restaurant
",offer,name,the missing sock
HUMAN,european khabar,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"galleria european khabar serve kore
",inform,food,european
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but kono world restaurant nei jeta apnar request er sathe match hochhe .
",canthelp,food,world
HUMAN,<SILENCE>,silence,,
BOT,"Onek restaurants ache jeigulo world khabar serve kore , apnar kon area tey chai ?
",impl-conf,food,world
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry , but kono cheap price range ey world restaurant nei
",canthelp,"pricerange, food","cheap, world"
HUMAN,goodbye,ack,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami ekta modetately priced restaurant khujte chai town er west e,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ekta nice restaurant town er west ey jeta moderate price range ey pore
",inform,area,west
HUMAN,address ar phone number ki,request,slot,phone
BOT,"prezzo er phone number holo prezzo_phone
",inform,phone,01799 521260
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami ekta cheap restaurant khujchi town er north e,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria ekta nice restaurant town er north ey jeta cheap price range ey pore
",inform,area,north
HUMAN,ar onno kichu ache,repeat,,
BOT,"apni ekta restaurant khujchen right ?
",confirm-domain,,
HUMAN,ar onno kichu ache,repeat,,
BOT,"da_vinci_pizzeria ekta nice restaurant town er north ey jeta cheap price range ey pore
",inform,area,north
HUMAN,address ta ki,request,slot,addr
BOT,"Sure , da_vinci_pizzeria er address holo da_vinci_pizzeria_address
",inform,phone,01223 351707
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami ekta moderately priced restaurant khujchi town er west part e,inform,pricerange,moderate
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ekta nice restaurant town er west ey jeta moderate price range ey pore
",inform,area,west
HUMAN,address ar post code ki,request,slot,addr
HUMAN,"prezzo er address holo prezzo_address
",ack,,
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,Ami ekta modetately priced restaurant khujte chai town er west e,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo ekta nice restaurant town er west ey jeta moderate price range ey pore
",inform,area,west
HUMAN,phone number ar address ta ki,request,slot,phone
BOT,"prezzo er phone number holo prezzo_phone
",inform,phone,01799 521260
HUMAN,thank you goodbye,bye,,
BOT,"you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , Cambridge restaurant system ey apnake swagoto janai . Apni restaurants khujte paren food type , price ar area diye . Apnake ki bhabe help korte pari ami ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"town er kon part ey apni chaichen ?
",request,slot,area
HUMAN,west bhag,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"thanh_binh ekta nice restaurant town er west ey jeta cheap price range ey pore
",inform,area,west
HUMAN,acha address ta dekhao,request,slot,addr
HUMAN,<SILENCE>,silence,,
BOT,"Sure , thanh_binh er address holo thanh_binh_address
",inform,phone,01223 362456
