Speaker,Utterance,Intent,Slot_Names,Slot_Values
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for a cheap restaurant that serves tuscan food,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no tuscan restaurant in the cheap price range
",canthelp,"pricerange, food","cheap, tuscan"
HUMAN,im looking for a cheap restaurant that serves italian food,inform,pricerange,cheap
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,any part of town,inform,area,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_city_centre is a nice restaurant in the centre of town serving italian food
",inform,area,centre
HUMAN,may i have the address and phone number please,request,slot,addr
BOT,"Sure , pizza_hut_city_centre is on pizza_hut_city_centre_address
",inform,addr,regent street city centre
HUMAN,and the phone number please,request,slot,phone
BOT,"The phone number of pizza_hut_city_centre is pizza_hut_city_centre_phone
",inform,phone,01223 323737
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for canapes food in any price range,inform,pricerange,dontcare
BOT,"I am sorry but there is no canapes restaurant that matches your request
",canthelp,food,canapes
HUMAN,how about european,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"michaelhouse_cafe is a great restaurant serving european food and it is in the expensive price range
",inform,pricerange,expensive
HUMAN,food an,thankyou,,
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,any any part of town,inform,area,dontcare
BOT,"michaelhouse_cafe serves european food .
",inform,food,european
HUMAN,may i have the address and phone number please,request,slot,addr
BOT,"The phone number of michaelhouse_cafe is michaelhouse_cafe_phone
",inform,phone,01223 309147
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for a,inform,this,dontcare
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,derately priced,inform,pricerange,moderate
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,any kind in the north part of town,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"the_nirala is a nice restaurant in the north of town serving indian food
",inform,area,north
HUMAN,breath price range,request,slot,postcode
BOT,"the_nirala is in the moderate price range
",inform,pricerange,moderate
HUMAN,breath may i have the phone number please,request,slot,phone
BOT,"The phone number of the_nirala is the_nirala_phone
",inform,phone,01223 360966
HUMAN,breath thank you goodbye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,north part of town turkish food,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no turkish restaurant in the north of town
",canthelp,"area, food","north, turkish"
HUMAN,how about asian_oriental,inform,food,asian oriental
BOT,"saigon_city is a nice restaurant in the north of town serving asian_oriental food
",inform,area,north
HUMAN,may i have the address and phone number please,request,slot,addr
BOT,"Sure , saigon_city is on saigon_city_address
",inform,phone,01223 356555
HUMAN,and the phone number please,request,slot,phone
BOT,"The phone number of saigon_city is saigon_city_phone
",inform,phone,01223 356555
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,center,affirm,,
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,<SILENCE>,silence,,
BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
HUMAN,vietnamese food,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock is a nice restaurant in the east of town in the cheap price range
",inform,area,east
HUMAN,food,thankyou,,
BOT,"Can I help you with anything else ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"Sorry there is no cheap restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no cheap restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no cheap restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no cheap restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, cheap, vietnamese"
HUMAN,north east,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no cheap restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, cheap, vietnamese"
HUMAN,center,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no cheap restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, cheap, vietnamese"
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no moderate restaurant in the centre of town serving vietnamese food
",canthelp,"area, pricerange, food","centre, moderate, vietnamese"
HUMAN,north,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no moderate restaurant in the north of town serving vietnamese food
",canthelp,"area, pricerange, food","north, moderate, vietnamese"
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no moderate restaurant in the east of town serving vietnamese food
",canthelp,"area, pricerange, food","east, moderate, vietnamese"
HUMAN,thank you goodbye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,restaurant any area kosher food,inform,area,dontcare
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,kosher,inform,food,kosher
HUMAN,<SILENCE>,silence,,
BOT,"cote is a nice restaurant in the centre of town serving french food
",inform,area,centre
HUMAN,type of food,request,slot,area
BOT,"cote is a great restaurant
",offer,name,cote
HUMAN,phone number,ack,,
BOT,"The phone number of cote is cote_phone
",inform,phone,01223 311053
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,creative food,inform,food,creative
BOT,"I am sorry but there is no creative restaurant that matches your request
",canthelp,food,creative
HUMAN,modern_european,inform,food,modern european
BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie is a great restaurant serving modern_european food and it is in the moderate price range
",inform,pricerange,moderate
HUMAN,address,ack,,
HUMAN,<SILENCE>,silence,,
BOT,"Sure , riverside_brasserie is on riverside_brasserie_address
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"riverside_brasserie is a great restaurant serving modern_european food and it is in the moderate price range
",inform,pricerange,moderate
HUMAN,address,ack,,
BOT,"Sure , riverside_brasserie is on riverside_brasserie_address
",inform,phone,01223 259988
HUMAN,phone number,ack,,
BOT,"The phone number of riverside_brasserie is riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant in the north part of town,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
HUMAN,what is the address,request,slot,addr
BOT,"Sure , da_vinci_pizzeria is on da_vinci_pizzeria_address
",inform,phone,01223 351707
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant in the south part of town,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_lucky_star is a nice restaurant in the south of town in the cheap price range
",inform,area,south
HUMAN,anything else,affirm,,
BOT,"nandos is a nice restaurant in the south of town in the cheap price range
",inform,area,south
HUMAN,what is the address,request,slot,addr
HUMAN,"Sure , nandos is on nandos_address
",request,slot,phone
HUMAN,what type of food is it,request,slot,area
BOT,"nandos serves portuguese food
",inform,food,portuguese
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,caribbean food,inform,food,caribbean
BOT,"I am sorry but there is no caribbean restaurant that matches your request
",canthelp,food,caribbean
HUMAN,british food,inform,food,british
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,i dont care,inform,this,dontcare
BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
HUMAN,<SILENCE>,silence,,
BOT,"saint_johns_chop_house is a nice restaurant in the west of town serving british food
",inform,area,west
HUMAN,what is the phone number,request,slot,phone
BOT,"The phone number of saint_johns_chop_house is saint_johns_chop_house_phone
",inform,phone,01223 353110
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,international food,inform,food,international
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,international,inform,food,international
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock serves international food .
",inform,food,international
HUMAN,what is the phone number,request,slot,phone
BOT,"The phone number of the_missing_sock is the_missing_sock_phone
",inform,phone,01223 812660
HUMAN,what is the post code,request,slot,postcode
BOT,"The post code of the_missing_sock is the_missing_sock_post_code
",inform,phone,01223 812660
HUMAN,uh thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant serving indian food,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"the_gandhi is a great restaurant serving indian food and it is in the cheap price range
",inform,pricerange,cheap
HUMAN,what is the address,request,slot,addr
HUMAN,"Sure , the_gandhi is on the_gandhi_address
",request,slot,addr
HUMAN,what is the phone number,request,slot,phone
BOT,"The phone number of the_gandhi is the_gandhi_phone
",inform,phone,01223 353942
HUMAN,uh what is the,request,slot,phone
BOT,"kohinoor is a great restaurant serving indian food and it is in the cheap price range
",inform,pricerange,cheap
HUMAN,what area is it in,inform,area,north
BOT,"kohinoor is a nice place in the centre of town
",inform,area,centre
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,tuscan food,inform,food,tuscan
BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
HUMAN,moderate,reqalts,,
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"The price range at riverside_brasserie is moderate .
",inform,pricerange,moderate
HUMAN,may i have the phone number,request,slot,phone
BOT,"The phone number of riverside_brasserie is riverside_brasserie_phone
",inform,phone,01223 259988
HUMAN,<SILENCE>,silence,,
BOT,"The price range at ask is cheap .
",inform,pricerange,cheap
HUMAN,phone number,ack,,
BOT,"The phone number of ask is ask_phone
",inform,phone,01223 364917
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,kosher for in the central,inform,area,centre
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no kosher restaurant in the centre of town
",canthelp,"area, food","centre, kosher"
HUMAN,korean food,inform,food,korean
HUMAN,<SILENCE>,silence,,
BOT,"little_seoul is a nice restaurant in the centre of town serving korean food
",inform,area,centre
HUMAN,address,ack,,
BOT,"Sure , little_seoul is on little_seoul_address
",inform,phone,01223 308681
HUMAN,phone number,ack,,
BOT,"The phone number of little_seoul is little_seoul_phone
",inform,phone,01223 308681
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,north part of town,inform,this,dontcare
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,north,inform,area,north
BOT,"Would you like something in the cheap , moderate , or expensive price range ?
",request,slot,pricerange
HUMAN,cheap,inform,pricerange,cheap
HUMAN,<SILENCE>,silence,,
BOT,"royal_spice is a nice restaurant in the north of town in the cheap price range
",inform,area,north
HUMAN,phone number,ack,,
BOT,"The phone number of royal_spice is royal_spice_phone
",inform,phone,01733 553355
HUMAN,food,thankyou,,
BOT,"royal_spice is a nice restaurant in the north of town in the cheap price range
",inform,area,north
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,traditional,inform,food,traditional
BOT,"I am sorry but there is no traditional restaurant that matches your request
",canthelp,food,traditional
HUMAN,italian food,inform,food,italian
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,south,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_cherry_hinton is a nice restaurant in the south of town serving italian food
",inform,area,south
HUMAN,phone number,ack,,
BOT,"The phone number of pizza_hut_cherry_hinton is pizza_hut_cherry_hinton_phone
",inform,phone,01223 323737
HUMAN,post code,affirm,,
BOT,"The post code of pizza_hut_cherry_hinton is pizza_hut_cherry_hinton_post_code
",inform,phone,01223 323737
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,moderate restaurant,inform,pricerange,moderate
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,dont care,inform,this,dontcare
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,austrian,inform,area,south
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no austrian restaurant in the moderate price range
",canthelp,"pricerange, food","moderate, austrian"
HUMAN,a chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"golden_wok is a nice restaurant in the north of town serving chinese food
",inform,area,north
HUMAN,phone number,ack,,
BOT,"The phone number of golden_wok is golden_wok_phone
",inform,phone,01223 350688
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,west,inform,area,west
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,dont care,inform,this,dontcare
HUMAN,<SILENCE>,silence,,
BOT,"charlie_chan is a great restaurant serving chinese food and it is in the cheap price range
",inform,pricerange,cheap
HUMAN,address,ack,,
BOT,"Sure , charlie_chan is on charlie_chan_address
",inform,phone,01223 361763
HUMAN,phone number,ack,,
BOT,"The phone number of charlie_chan is charlie_chan_phone
",inform,phone,01223 361763
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,thai food,inform,food,thai
HUMAN,<SILENCE>,silence,,
BOT,"bangkok_city serves thai food .
",inform,food,thai
HUMAN,address,ack,,
BOT,"Sure , bangkok_city is on bangkok_city_address
",inform,addr,24 green street city centre
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,italian food,inform,food,italian
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,east,affirm,,
HUMAN,<SILENCE>,silence,,
BOT,"pizza_hut_fen_ditton is a nice restaurant in the east of town serving italian food
",inform,area,east
HUMAN,phone number,ack,,
BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
HUMAN,phone number,ack,,
BOT,"Can I help you with anything else ?
",reqmore,,
HUMAN,italian food,inform,food,italian
BOT,"pizza_hut_fen_ditton is a nice restaurant in the east of town serving italian food
",inform,area,east
HUMAN,phone number,ack,,
BOT,"Can I help you with anything else ?
",reqmore,,
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,north,inform,area,north
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,gastropub,inform,food,gastropub
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no gastropub restaurant in the north of town
",canthelp,"area, food","north, gastropub"
HUMAN,chinese,inform,food,chinese
HUMAN,<SILENCE>,silence,,
BOT,"hakka is a nice restaurant in the north of town serving chinese food
",inform,area,north
HUMAN,phone number,ack,,
BOT,"The phone number of hakka is hakka_phone
",inform,phone,01223 568988
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"the_missing_sock is a great restaurant
",offer,name,the missing sock
HUMAN,european food,inform,food,european
HUMAN,<SILENCE>,silence,,
BOT,"galleria serves european food .
",inform,food,european
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,<SILENCE>,silence,,
BOT,"I am sorry but there is no world restaurant that matches your request
",canthelp,food,world
HUMAN,<SILENCE>,silence,,
BOT,"There are restaurants serving world food . What area do you want ?
",impl-conf,food,world
HUMAN,<SILENCE>,silence,,
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no world restaurant in the cheap price range
",canthelp,"pricerange, food","cheap, world"
HUMAN,goodbye,ack,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,id like to find a moderately priced restaurant in the west part of town,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
HUMAN,what is the address and phone number,request,slot,phone
BOT,"The phone number of prezzo is prezzo_phone
",inform,phone,01799 521260
HUMAN,thank you goodbye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for a cheap restaurant in the north of town,inform,area,north
HUMAN,<SILENCE>,silence,,
BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
HUMAN,is there anything else,repeat,,
BOT,"You are looking for a restaurant is that right ?
",confirm-domain,,
HUMAN,is there anything else,repeat,,
BOT,"da_vinci_pizzeria is a nice restaurant in the north of town in the cheap price range
",inform,area,north
HUMAN,what is the address,request,slot,addr
BOT,"Sure , da_vinci_pizzeria is on da_vinci_pizzeria_address
",inform,phone,01223 351707
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for a moderately priced restaurant in the west part of town,inform,pricerange,moderate
HUMAN,<SILENCE>,silence,,
BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
HUMAN,what is the address and post code,request,slot,addr
HUMAN,"prezzo is on prezzo_address
",ack,,
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,id like to find a moderately priced restaurant in the west of town,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"prezzo is a nice restaurant in the west of town in the moderate price range
",inform,area,west
HUMAN,what is the phone number and address,request,slot,phone
BOT,"The phone number of prezzo is prezzo_phone
",inform,phone,01799 521260
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,cheap restaurant,inform,pricerange,cheap
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,west part,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"thanh_binh is a nice restaurant in the west of town in the cheap price range
",inform,area,west
HUMAN,okay show me the address,request,slot,addr
HUMAN,<SILENCE>,silence,,
BOT,"Sure , thanh_binh is on thanh_binh_address
",inform,phone,01223 362456
HUMAN,phone number,ack,,
BOT,"The phone number of thanh_binh is thanh_binh_phone
",inform,phone,01223 362456
HUMAN,post code,affirm,,
BOT,"The post code of thanh_binh is thanh_binh_post_code
",inform,phone,01223 362456
HUMAN,okay good bye,affirm,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking at a cheap restaurant and it should be,inform,pricerange,cheap
BOT,"What part of town do you have in mind ?
",request,slot,area
HUMAN,west,inform,area,west
HUMAN,<SILENCE>,silence,,
BOT,"la_margherita is a nice restaurant in the west of town in the cheap price range
",inform,area,west
HUMAN,okay please give me the phone number,request,slot,phone
BOT,"The phone number of la_margherita is la_margherita_phone
",inform,phone,01223 315232
HUMAN,okay thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,i want to find a rest,ack,,
BOT,"What kind of food would you like ?
",request,slot,food
HUMAN,a vietnamese,inform,food,vietnamese
HUMAN,<SILENCE>,silence,,
BOT,"frankie_and_bennys is a great restaurant
",offer,name,frankie and bennys
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"thanh_binh serves vietnamese food .
",inform,food,vietnamese
HUMAN,uh,repeat,,
BOT,"Can I help you with anything else ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"thanh_binh serves vietnamese food .
",inform,food,vietnamese
HUMAN,next,thankyou,,
BOT,"Can I help you with anything else ?
",reqmore,,
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"curry_king serves indian food .
",inform,food,indian
HUMAN,vietnamese food,inform,food,vietnamese
BOT,"thanh_binh serves vietnamese food .
",inform,food,vietnamese
HUMAN,phone number,ack,,
BOT,"The phone number of thanh_binh is thanh_binh_phone
",inform,phone,01223 362456
HUMAN,post code,affirm,,
BOT,"The post code of thanh_binh is thanh_binh_post_code
",inform,phone,01223 362456
HUMAN,okay thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
BOT,"Hello , welcome to the Cambridge restaurant system . You can ask for restaurants by area , price range or food type . How may I help you ?
",welcomemsg,,
HUMAN,im looking for an expensive restaurant that serves portuguese food,inform,pricerange,expensive
HUMAN,<SILENCE>,silence,,
BOT,"Sorry there is no portuguese restaurant in the expensive price range
",canthelp,"pricerange, food","expensive, portuguese"
HUMAN,what about italian food,confirm,food,italian
HUMAN,<SILENCE>,silence,,
BOT,"stazione_restaurant_and_coffee_bar is a great restaurant serving italian food and it is in the expensive price range
",inform,pricerange,expensive
HUMAN,what is the address,request,slot,addr
BOT,"Sure , stazione_restaurant_and_coffee_bar is on stazione_restaurant_and_coffee_bar_address
",inform,phone,01223 352607
HUMAN,what is the phone number,request,slot,phone
BOT,"The phone number of stazione_restaurant_and_coffee_bar is stazione_restaurant_and_coffee_bar_phone
",inform,phone,01223 352607
HUMAN,what is the area,request,slot,addr
BOT,"stazione_restaurant_and_coffee_bar is a nice place in the centre of town
",inform,area,centre
HUMAN,thank you good bye,bye,,
BOT," you are welcome
",bye,,
HUMAN,<SILENCE>,silence,,
