ID	Value
msd2025	राजा\N_NN सगरो\N_NN खोजे\V_VM आच\N_NN कहे\V_VM कि\CC_CCS केकरो\PR_PRI पास\N_NN ।\RD_PUNC
msd2026	हारुनी\N_NN पंखा\N_NN हे\V_VAUX तो\PR_PRL हमरा\PR_PRP दे\V_VM दे\V_VM ।\RD_PUNC
msd2027	ओकरा\PR_PRP हम\PR_PRP मुंह\N_NN मांगा\N_NN रुपेया\N_NN देम\V_VM बाकि\CC_CCD हारुनी\N_NN पंखा\N_NN हाली\N_NN न\RP_NEG मिलल\V_VM ।\RD_PUNC
msd2028	एगेा\N_NN अदमी\N_NN राजा\N_NN के\PSP बतौलक\V_VM कि\CC_CCS हारुनी\N_NN पंखा\N_NN इहां\DM_DMD के\PSP बादसाह\N_NN के\PSP पास\N_NN हे\V_VM ।\RD_PUNC
msd2029	राजा\N_NN बादसाह\N_NN के\PSP पास\N_NN गेलन\V_VM आऊ\N_NN पंखा\N_NN मागंलन\V_VM बादसाह\N_NN कहलन\V_VM कि\CC_CCS हमरा\PR_PRP पंखा\N_NN बेचे\V_VM ला\PSP तो\PR_PRL नहे\RP_NEG बाकि\CC_CCD अपने\PR_PRP भी\RP_RPD बादसाहे\N_NN ही\RP_RPD तऽ\CC_CCS हम\PR_PRP अपने\PR_PRP के\PSP पंखा\N_NN दे\V_VM देइत\V_VAUX ही\RP_RPD ,\RD_PUNC काहे\CC_CCS से\PSP कि\CC_CCS जऊरत\N_NN पड़े\V_VM पर\PSP अपने\PR_PRP इहां\DM_DMD से\PSP भी\RP_RPD हम\PR_PRP कोई\PR_PRI समान\N_NN ले\V_VM आयम\V_VAUX ।\RD_PUNC
msd2030	ई\DM_DMI सब\QT_QTF सोच\V_VM विचार\V_VM के\PSP बादसाह\N_NN राजा\N_NN के\PSP हारुनीपंखा\N_NN दे\V_VM देलन\V_VAUX ।\RD_PUNC
msd2031	राजा\N_NN ऊ\PR_PRP पंखा\N_NN लेके\V_VM अप्पन\PR_PRP घरे\N_NN लौटलन\V_VM आउ\CC_CCD दाई\N_NN से\PSP ऊ\PR_PRP पंखा\N_NN के\PSP छोटकी\JJ बेटीके\N_NN इहां\DM_DMD भिजवा\V_VM देलन\V_VAUX ।\RD_PUNC
msd2032	दाई\N_NN जब\PR_PRL हारुनी\N_NN पंखा\N_NN लेके\V_VM छोटकी\JJ राजकुमारी\N_NN ही\RP_RPD पहूंचलन\V_VM तऽ\CC_CCS ऊ\PR_PRP नमाज\N_NN पढ़इत\V_VM हल\V_VAUX ,\RD_PUNC से\PSP ऊ\PR_PRP खिरकी\N_NN से\PSP पंखा\N_NN गिरा\V_VM चल\V_VM देलक\V_VAUX ।\RD_PUNC
msd2033	छोटकी\JJ राजकुमारी\N_NN एक\QT_QTC दिन\N_NN गरमी\N_NN से\PSP बेचैन\N_NN हो\V_VM रहल\V_VAUX हल\V_VAUX तो\PR_PRL अप्पन\PR_PRP लौंड़ी\N_NN से\PSP कहलक\V_VM कि\CC_CCS जल्दी\N_NN कहीं\DM_DMI से\PSP पंखा\N_NN लावऽ\V_VM ।\RD_PUNC
msd2034	लौंड़ी\N_NN घरे\N_NN में\PSP खोजे\V_VM लगल\V_VAUX तो\PR_PRL ओही\DM_DMD हारुनी\N_NN पंखा\N_NN मिलल\V_VM आउ\CC_CCD राजकुमारी\N_NN के\PSP जाके\V_VM ऊ\PR_PRP दे\V_VM देलक\V_VAUX ।\RD_PUNC
msd2035	राजकुभारी\N_NN हौकै\V_VM लगल\V_VAUX तो\PR_PRL पंखा\N_NN में\PSP से\PSP खुब\RB खुसबुदार\JJ हवा\N_NN निकले\V_VM ।\RD_PUNC
msd2036	पंखा\N_NN घुमौते-घुमौते\V_VM एक\QT_QTC दफे\N_NN उल्टे\N_NN धुम\V_VM गेल\V_VAUX आउ\CC_CCD तुरते\N_NN उहां\DM_DMD हारुन\N_NN रसीद\N_NN बादसाह\N_NN ।\RD_PUNC
msd2037	﻿पहूंच\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2038	बादसाह\N_NN पूछलन\V_VM तू\PR_PRP काहे\CC_CCS ला\PSP बोलौलऽ\V_VM हे\V_VAUX ।\RD_PUNC
msd2039	राजकुमारी\N_NN कहलक\V_VM कि\CC_CCS हम\PR_PRP काहे\CC_CCS ला\PSP बोलबवऽ\V_VM ।\RD_PUNC
msd2040	राजा\N_NN कहलन\V_VM कि\CC_CCS तूंही\PR_PRP तो\PR_PRL बोलयवे\V_VM कयलऽ\V_VM हे\V_VAUX ।\RD_PUNC
msd2041	राजकुमारी\N_NN मनवे\N_NN न\RP_NEG करे\V_VM ।\RD_PUNC
msd2042	राजा\N_NN रहस\N_NN बतौलन\V_VM कि\CC_CCS पंखा\N_NN के\PSP उलटा\N_NN घूमौते\V_VM हम\PR_PRP आ\V_VM जववऽ\N_NN ।\RD_PUNC
msd2043	अब\N_NN तो\PR_PRL राजकुमारी\N_NN के\PSP जब\PR_PRL मन\N_NN चाह\N_NN उलटे\N_NN पंखा\N_NN घूमा\N_NN के\PSP बादसाह\N_NN के\PSP बोलावथ\V_VM ।\RD_PUNC
msd2044	धीरे-धीरे\RB दूनो\QT_QTC में\PSP परेम\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd2045	राजकुमार\N_NN आउ\CC_CCD बादसाह\N_NN हारुन\N_NN रसीद\N_NN में\PSP खूब\QT_QTF मोहब्बत\N_NN बढ़े\RB लगल\V_VAUX ।\RD_PUNC
msd2046	ई\DM_DMI बात\N_NN ओकर\PR_PRP छट्की\JJ बहिन\N_NN जान\V_VM गेलन\V_VAUX आउ\CC_CCD छोटकी\JJ राजकुमारी\N_NN से\PSP डाह\N_NN करे\V_VM लगलन\V_VAUX ।\RD_PUNC
msd2047	से\CC_CCD एक\QT_QTC दिन\N_NN छवो\N_NN राजकुमारी\N_NN घरे\N_NN से\PSP सीसा\N_NN गूंड\V_VM के\PSP छोटकी\N_NN बहिन\N_NN के\PSP पास\N_NN पहुंचलन\V_VM आउ\CC_CCD कहल\V_VM कि\CC_CCS बादसाह\N_NN के\PSP बोलावऽ\V_VM ।\RD_PUNC
msd2048	पहले\N_NN तो\PR_PRL ऊ\PR_PRP नाहीं-नुहीं\RP_NEG कयलक\V_VM बाकी\N_NN अंत\N_NN में\PSP चलांकी\N_NN से\PSP बोलाबे\V_VM ला\PSP तैयार\N_NN भेल\V_VM ।\RD_PUNC
msd2049	एही\DM_DMD बीच\N_NST ऊ\PR_PRP सब\QT_QTF दासी\N_NN से\PSP कहलन\V_VM कि\CC_CCS बड़ी\JJ गरमी\N_NN हे\V_VAUX ,\RD_PUNC जरा\N_NN पंखबा\N_NN लावऽ\V_VM तो\PR_PRL दासी\N_NN ओही\DM_DMD पंखा\N_NN लौवलक\V_VM ।\RD_PUNC
msd2050	सीधे\N_NN हौकते-हौकते\V_VM ऊ\PR_PRP पेखा\N_NN के\PSP उलटे\N_NN हंउक\V_VM देलक\V_VAUX तो\PR_PRL बादसाह\N_NN पहुंच\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2051	तब\PR_PRL तलक\N_NN एहनी\PR_PRP छवो\QT_QTC बहिनिन\N_NN बादसाह\N_NN ला\PSP बिछावन\N_NN बिछा\V_VM देलन\V_VAUX हल\V_VAUX आउ\CC_CCD ओऊरा\N_NN पर\PSP सीसा\N_NN के\PSP बुकनी\N_NN छिड़क\V_VM के\PSP चद्दर\N_NN बिछा\V_VM देलन\V_VAUX हल\V_VAUX ।\RD_PUNC
msd2052	बादसाह\N_NN अयलन\V_VM आउ\CC_CCD गरमी\N_NN में\PSP अंगरखा\N_NN निकाल\V_VM के\PSP बिछावन\N_NN पर\PSP भद\QT_QTF दे\N_NN पड़\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2053	फिन\CC_CCD तो\PR_PRL उनकर\PR_PRP आधा\QT_QTF पीठ\N_NN सीसा\N_NN से\PSP चुीरा\V_VM गेल\V_VAUX ।\RD_PUNC
msd2054	ऊ\PR_PRP चिल्लाय\N_NN लगलन\V_VAUX कि\CC_CCS जल्दी\N_NN पंखा\N_NN उलटा\N_NN घुमावऽ\V_VM ।\RD_PUNC
msd2055	राजकुमारी\N_NN पंखा\N_NN उलटे\N_NN घुमौलक\V_VM आउ\CC_CCD बादसाह\N_NN अप्पन\PR_PRP देस\N_NN चल\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2056	उहाँ\DM_DMD गेला\V_VM पर\PSP उनकर\PR_PRP काफी\N_NN दावा-बीरो\N_NN भेल\V_VM ।\RD_PUNC
msd2057	राजा\N_NN मरइत-मरइत\V_VM बचलन\V_VM बाकि\CC_CCD तइयो\CC_CCS अइसन\RP_RPD लगऽ\V_VM हल\V_VAUX कि\CC_CCS उनकर\PR_PRP बचे\V_VM के\PSP कोई\PR_PRI आसा\N_NN न\RP_NEG हे\V_VAUX ।\RD_PUNC
msd2058	एन्ने\N_NN छोटकी\JJ राजकुमारी\N_NN केतनो\DM_DMI उलटा\N_NN पंखा\N_NN बुमावय\V_VM बाकि\CC_CCD बादसाह\N_NN न\RP_NEG आवघ\V_VM ।\RD_PUNC
msd2059	एक\QT_QTC दिन\N_NN लचार\N_NN हाके\V_VM राजकुमारी\N_NN अप्पन\PR_PRP लौड़ी\N_NN के\PSP साथ\PSP बादसाह\N_NN के\PSP खोज\V_VM में\PSP निकलल\V_VM ।\RD_PUNC
msd2060	जाइत-जाइत\V_VM सांझ\N_NN हो\V_VM गेल\V_VAUX तो\PR_PRL एगेा\QT_QTC पेड़\N_NN के\PSP नीचे\N_NST ठहर\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2061	ऊ\PR_PRP पेड़\N_NN पर\PSP एगेा\N_NN हंस\N_NN आउ\CC_CCD हेसनी\N_NN के\PSP जोड़ा\N_NN रहऽ\V_VM हल\V_VAUX ।\RD_PUNC
msd2062	रात\N_NN में\PSP हंसनी\N_NN पुछलक\V_VM कि\CC_CCS अब\N_NN हारुन\N_NN के\PSP बादसाह\N_NN के\PSP का\PR_PRQ हाल\N_NN हे\V_VAUX तो\PR_PRL हंस\N_NN बोललकि\N_NN अभियो\N_NN बचे\V_VM के\PSP कोई\PR_PRI उम्मीद\N_NN नऽ\RP_NEG हे\V_VAUX ।\RD_PUNC
msd2063	हंसनी\N_NN बोलल\V_VM कि\CC_CCS ऊ\PR_PRP कइसे\PR_PRQ बचतन\V_VM ।\RD_PUNC
msd2064	हंस\N_NN कहलक\V_VM कि\CC_CCS एकरा\DM_DMD से\PSP तोरा\PR_PRP का\PR_PRQ मतलव\N_NN हे\V_VAUX ।\RD_PUNC
msd2065	हेसनी\N_NN के\PSP जिद्द\N_NN रोप\N_NN देला\V_VM पर\PSP हंस\N_NN कहलक\V_VM कि\CC_CCS हमनी\PR_PRP के\PSP विष्टा\N_NN ले\V_VAUX जाके\N_NN कोई\PR_PRI बेकती\N_NN उनका\PR_PRP उबटन\N_NN के\PSP तरह\RP_RPD लगा\V_VM के\PSP गरम\N_NN पानी\N_NN से\PSP नेहा\V_VM देत\V_VAUX तो\PR_PRL राजा\N_NN बच\V_VM जयतन\V_VAUX ।\RD_PUNC
msd2066	राजकुमारी\N_NN ई\DM_DMI बात\N_NN सुनइत\V_VM हल\V_VAUX ।\RD_PUNC
msd2067	बिहान\N_NN हो\V_VM गेला\V_VAUX पर\PSP ऊ\PR_PRP दासी\N_NN के\PSP घरे\N_NN भेज\V_VM देलक्\V_VAUX आउ\CC_CCD अपने\PR_PRP हंस-हंसनी\N_NN के\PSP विस्टा\N_NN ले\V_VAUX के\PSP फकीरिन\N_NN के\PSP भेस\N_NN में\PSP हारुन\N_NN बादसाह\N_NN के\PSP पास\N_NN पहूंचलन\V_VM ।\RD_PUNC
msd2068	राजा\N_NN के\PSP किला\N_NN के\PSP बाहर\N_NN उनकर\PR_PRP दासी\N_NN पानी\N_NN भरइत\V_VM हले\V_VAUX ,\RD_PUNC जहां\DM_DMD जा\V_VM के\PSP फकीरिन\N_NN पानी\N_NN मांगलक\V_VM ।\RD_PUNC
msd2069	दासी\N_NN पानी\N_NN न\RP_NEG देलक\V_VM आउ\CC_CCD कहलक\V_VM कि\CC_CCS बादसाह\N_NN मरल\V_VM जाइत\V_VAUX हथ\V_VAUX उनकरे\PR_PRP नेहावे\V_VM ला\PSP हम\PR_PRP जल्दी\RB पानी\N_NN ले\V_VM ले\V_VAUX जाइत\V_VM ही\RP_RPD ।\RD_PUNC
msd2070	फकीरिन\N_NN कहलक\V_VM कि\CC_CCS हमरा\PR_PRP पानी\N_NN पिया\V_VM दे\V_VAUX ।\RD_PUNC
msd2071	हम\PR_PRP बादसाह\N_NN के\PSP ठीक\JJ कार\V_VM देम\V_VAUX ।\RD_PUNC
msd2072	दासी\N_NN कहलक\V_VM कि\CC_CCS बड़े-बड़े\JJ बइद-हकीम\N_NN हार\V_VM गेलन\V_VAUX तऽ\CC_CCS तू\PR_PRP ठीक\JJ करे\V_VM चलले\V_VAUX हें\V_VAUX ।\RD_PUNC
msd2073	जो\RP_RPD -\RD_PUNC जो\RP_RPD ।\RD_PUNC
msd2074	आउ\CC_CCD ई\DM_DMI कहके\V_VM दासी\N_NN बाद्साह\N_NN के\PSP पास\N_NN चल\V_VM गेल\V_VAUX आउ\CC_CCD सब\QT_QTF हाल\N_NN सुनौलक\V_VM ।\RD_PUNC
msd2075	ई\DM_DMI सुन\V_VM के\PSP बाद्साह\N_NN फकीरीन\N_NN के\PSP तुरन\N_NN बोलौलक\V_VM ,\RD_PUNC आउ\CC_CCD पानी\N_NN पिये\V_VM ला\PSP देलक\V_VM ।\RD_PUNC
msd2076	निहचिंत\N_NN हो\V_VM गेला\V_VAUX पर\PSP बादसाह\N_NN पूछलक\V_VM कि\CC_CCS अपने\PR_PRP के\PSP का\PR_PRQ इलाज\N_NN हे\V_VAUX ।\RD_PUNC
msd2077	ई\DM_DMI सुनला\V_VM पर\PSP फकीरीन\N_NN हस\N_NN के\PSP विक्टा\N_NN के\PSP सुसुम\N_NN पानी\N_NN में\PSP घोर\V_VM के\PSP बादसाह\N_NN के\PSP दिन\N_NN में\PSP तीन\QT_QTC बार\N_NN उबटन\N_NN के\PSP तरह\RP_RPD लगौलक\V_VM ।\RD_PUNC
msd2078	बादसाह\N_NN एके\QT_QTC दिन\N_NN में\PSP ठीक\JJ हो\V_VM गेलन\V_VAUX आउ\CC_CCD कहलन\V_VM कि\CC_CCS तोर\PR_PRP जे\PR_PRL इच्छा\N_NN हे\V_VAUX से\PSP मांगऽ\V_VM ।\RD_PUNC
msd2079	फकीरिन\N_NN तीन\QT_QTC चीज\N_NN मांगलक\V_VM -\RD_PUNC छापा\N_NN रूमाल\N_NN ,\RD_PUNC राजा\N_NN के\PSP अंगूठी\N_NN आउ\CC_CCD पानदान\N_NN ।\RD_PUNC
msd2080	राजा\N_NN ई\DM_DMI सब\QT_QTF छोड़\V_VM के\PSP रुपेआ-पैसा\N_NN देल\V_VM चाहलन\V_VM बाकि\CC_CCD ऊ\PR_PRP कुछो\QT_QTF न\RP_NEG लेलक\V_VM ।\RD_PUNC
msd2081	अत\N_NN में\PSP राजा\N_NN ओकरा\PR_PRP ई\DM_DMI सब\QT_QTF चीज\N_NN देके\V_VM ।\RD_PUNC
msd2082	﻿विदा\N_NN कयलन\V_VM ।\RD_PUNC
msd2083	राजकुमारी\N_NN तीनो\QT_QTC चीज\N_NN ले\V_VAUX के\PSP अप्पन\PR_PRP घरे\N_NN आ\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2084	घर-दुआर\N_NN साफ\N_NN सुथरा\N_NN कराके\V_VM हारुन\N_NN पंखा\N_NN के\PSP उलटे\N_NN घुमा\N_NN के\PSP हौकलन\V_VM तो\PR_PRL बादसाह\N_NN खीस\N_NN मैं\N_NN नंगे\N_NN तलवार\N_NN लेले\V_VM पहूंचलन\V_VM ।\RD_PUNC
msd2085	गुस्सा\N_NN में\PSP बोललन\V_VM कि\CC_CCS तू\PR_PRP मुझको\N_NN काहे\DM_DMQ को\PSP बुलाया\V_VM है\V_VAUX ।\RD_PUNC
msd2086	जान\N_NN मारने\V_VM के\PSP फेरा\N_NN में\PSP तूं\PR_PRP है\V_VAUX ।\RD_PUNC
msd2087	लड़की\N_NN कहलक\V_VM कि\CC_CCS हम\PR_PRP तोरा\PR_PRP जान\N_NN मारे\V_VM के\PSP बजाय\N_NN तोर\PR_PRP जान\N_NN बचउली\V_VM हे\V_VAUX ।\RD_PUNC
msd2088	राजा\N_NN कहलन\V_VM कि\CC_CCS एकर\QT_QTC सबूत\N_NN ।\RD_PUNC
msd2089	राजकुमारी\N_NN बोललन\V_VM कि\CC_CCS हम\PR_PRP अपने\PR_PRP के\PSP पास\N_NST जाके\V_VM दाई\N_NN से\PSP पानी\N_NN मांगली\V_VM ,\RD_PUNC फिनो\CC_CCD आप\PR_PRP बोलौली\V_VM आउ\CC_CCD खाना-पीना\N_NN देली\V_VM ।\RD_PUNC
msd2090	बाद\N_NN में\PSP हम\PR_PRP दवा\N_NN से\PSP अच्छा\N_NN कइली\V_VM ।\RD_PUNC
msd2091	राजा\N_NN कहलन\V_VM कि\CC_CCS सब\QT_QTF झूठ\N_NN हे\V_VAUX तो\PR_PRL राजकुमारी\N_NN छापा\N_NN रूमाल\N_NN देखा\V_VM देलन\V_VAUX आउ\CC_CCD अंत\N_NN में\PSP राजा\N_NN के\PSP अंगुठी\N_NN आउ\CC_CCD पानदान\N_NN भी\RP_RPD देखा\V_VM देलन\V_VAUX तो\PR_PRL बादसाह\N_NN के\PSP बिसवास\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd2092	बादसाह\N_NN अफसोस\N_NN करे\V_VM लगलन\V_VAUX कि\CC_CCS हम\PR_PRP काहे\CC_CCS नंगा\N_NN तलवार\N_NN लेके\V_VM अइली\V_VM आउ\CC_CCD गुस्सा\N_NN में\PSP बोलली\V_VM आउ\CC_CCD ओकरे\PR_PRP सामने\N_NN ऊ\PR_PRP तलवार\N_NN तोड़\V_VM के\PSP फेंक\V_VM देलन\V_VAUX ।\RD_PUNC
msd2093	राजकुमारी\N_NN बादसाह\N_NN से\PSP कहलन\V_VM कि\CC_CCS अब\N_NN हमनी\PR_PRP के\PSP सादी\N_NN कर\V_VM लेवे\V_VAUX के\PSP चाहीं\V_VAUX ।\RD_PUNC
msd2094	झट-पट\RB सादी\N_NN के\PSP तैयारी\N_NN भे\V_VM गेल\V_VAUX ।\RD_PUNC
msd2095	लड़को\N_NN अप्पन\PR_PRP बाप\N_NN जान\N_NN के\PSP महल\N_NN तक\RP_RPD फरस\N_NN बिछा\V_VM देलक\V_VAUX आउ\CC_CCD बाप\N_NN जान\N_NN के\PSP पास\N_NN उहें\DM_DMD आवे\V_VM ला\PSP समाचार\N_NN भेजलक\V_VM ।\RD_PUNC
msd2096	बाप\N_NN जान\N_NN लड़की\N_NN से\PSP सब\QT_QTF हाल\N_NN पूछलन\V_VM तो\PR_PRL लड़की\N_NN कहलक\V_VM कि\CC_CCS ई\DM_DMI घड़ी\N_NN कुछ\QT_QTF न\RP_NEG पूछऽ\V_VM ।\RD_PUNC
msd2097	हारुन\N_NNP रसीद\N_NNP बादसाह\N_NN आउ\CC_CCD राजकुमारी\N_NN के\PSP सादी\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd2098	सादी\N_NN हो\V_VM गेला\V_VAUX के\PSP बाद\N_NN लड़की\N_NN अप्पन\PR_PRP बाप\N_NN से\PSP पूछलक\V_VM -\RD_PUNC बापजान\N_NN अव\N_NN बतावऽ\N_NN कि\CC_CCS कउन\PR_PRQ केकर\PR_PRQ किस्मत\N_NN से\PSP खा\V_VM हे\V_VAUX ।\RD_PUNC
msd2099	बाप\N_NN जान\N_NN चुप\N_NN रह\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2100	राजा\N_NN ,\RD_PUNC रानी\N_NN आउ\CC_CCD मोती\N_NN कुँअरा\N_NN कहताहर\N_NN -\RD_PUNC द्वारिका\N_NNP प्रसाद\N_NNP सिछु\N_NNP ग्राम\N_NN जईबिगहा\N_NNP पो०\N_NN मखद्वुमपुर\N_NNP जिला\N_NN -\RD_PUNC गया\N_NNP ।\RD_PUNC
msd2101	एगेा\QT_QTC राजा\N_NN रहे\V_VM ।\RD_PUNC
msd2102	ऊ\PR_PRP एक\QT_QTC दिन\N_NN जगल\N_NN में\PSP सिकार\N_NN खेले\V_VM गेल\V_VAUX ।\RD_PUNC
msd2103	दिन\N_NN भर\N_NN हरान\N_NN होवे\V_VM पर\PSP भी\RP_RPD एको\QT_QTC सिकार\N_NN न\RP_NEG मिलल\V_VM ।\RD_PUNC
msd2104	राजा\N_NN निरास\N_NN होके\V_VM लौट\V_VM रहल\V_VAUX हल\V_VAUX कि\CC_CCS रास्ता\N_NN में\PSP पालकी\N_NN मिलल\V_VM ।\RD_PUNC
msd2105	ऊ\PR_PRP में\PSP लाल\N_NN सोलहो\QT_QTC कहार\N_NN बहत\N_NN कीमती\N_NN कपड़ा\N_NN पेन्हले\V_VM हलन\V_VAUX ।\RD_PUNC
msd2106	राजा\N_NN सोचलक\V_VM कि\CC_CCS ई\DM_DMI पालकी\N_NN केकहार\DM_DMQ तो\PR_PRL अइसन\RP_RPD सुन्नर\N_NN हे\V_VAUX तो\PR_PRL ई\DM_DMI पालकी\N_NN ओली\N_NN केतना\DM_DMI सुन्नर\N_NN होयत\V_VM ।\RD_PUNC
msd2107	राजा\N_NN ओकरा\PR_PRP देखे\V_VM के\PSP वास्ते\N_NN पालकी\N_NN से\PSP कुछ\QT_QTF दुरी\N_NN पर\PSP चले\V_VM लगल\V_VAUX ।\RD_PUNC
