ID	Value
msd125	लोग\N_NN नऽ\RP_NEG मानलन\V_VM कहलन\V_VM कि\CC_CCS नाम\N_NN तो\PR_PRL हम\PR_PRP बतावइत\V_VM ही\V_VAUX ।\RD_PUNC
msd126	हम\PR_PRP मर\V_VM जायब\V_VAUX तब\PR_PRL हमरा\PR_PRP जारिहऽ\V_VM न\RP_NEG जंगल\N_NN में\PSP फेंक\V_VM दीहऽ\V_VAUX ।\RD_PUNC
msd127	नाम\N_NN घरते\V_VM ऊ\PR_PRP मर\V_VM गेलन\V_VAUX ।\RD_PUNC
msd128	मरे\V_VM पर\PSP रोआ-रोहट\V_VM होवे\V_VAUX लगल\V_VAUX ।\RD_PUNC
msd129	राजा\N_NN के\PSP बेटी\N_NN के\PSP नाम\N_NN ।\RD_PUNC
msd13	बात-गलवात\N_NN करते\V_VM रात\N_NN खतम\N_NN भे\V_VM गेलई\V_VAUX तो\PR_PRL रानी\N_NN उठके\V_VM चललै\V_VAUX आउ\CC_CCD घरे\N_NN आन\N_NN के\PSP राजा\N_NN के\PSP खटिया\N_NN पर\PSP पड़\V_VM रहलै\V_VAUX ।\RD_PUNC
msd130	करमजरीं\N_NN पड़\V_VM गेल\V_VAUX ।\RD_PUNC
msd131	बरात\N_NN घुर\V_VM के\V_VAUX चल\V_VM गेल\V_VAUX ।\RD_PUNC
msd132	राजा\N_NN के\PSP बेटा\N_NN के\PSP जाके\V_VM लोग\N_NN जंगल\N_NN में\PSP फेक\V_VM देलन\V_VAUX ।\RD_PUNC
msd133	सातो\QT_QTC भई\N_NN परदेश\N_NN जाय\V_VM लगलन\V_VAUX ।\RD_PUNC
msd134	अप्पन\PR_PRP मेहरारू\N_NN से\PSP सब\QT_QTC जाइत\V_VM_VNF खनी\N_NN पुछलन\V_VM कि\CC_CCS तोरा\PR_PRP ला\PSP का\PR_PRQ लबवऽ\V_VM ।\RD_PUNC
msd135	﻿बिसेसरवा\N_NNP लइकिया\N_NN ।\RD_PUNC
msd136	नऽ\RP_NEG विश्वास\N_NN हवऽ\V_VM तऽ\CC_CCS तनी\QT_QTF जाँघ\N_NN उघार\V_VM के\V_VAUX देख\V_VM लऽ\V_VAUX कि\CC_CCS याद\N_NN हवऽ\V_VM की\CC_CCS नऽ\RP_NEG ।\RD_PUNC
msd137	तब\PR_PRL बिसेखरवा\N_NNP देखलक\V_VM तो\PR_PRL सच्चो\N_NN में\PSP घाव\N_NN हल\V_VM ।\RD_PUNC
msd138	लाज\N_NN के\PSP मरि\N_NN ऊ\PR_PRP भाबी\N_NN से\PSP क्षमा\N_NN माँगलक\V_VM आउ\CC_CCD घोबिया\N_NN के\PSP लड़किया\N_NN के\PSP घरे\N_NN ले\V_VM आयल\V_VAUX ।\RD_PUNC
msd139	घरे\N_NN आन\V_VM के\V_VAUX ऊ\PR_PRP ओकरा\PR_PRP घर\N_NN ही\RP_RPD पर\PSP छोड़\V_VM के\V_VAUX अपने\PR_PRF जंगल\N_NN में\PSP चल\V_VM गेल\V_VAUX ।\RD_PUNC
msd14	वजीर\N_NN के\PSP लड़का\N_NN भी\RP_RPD पहिल\N_NN ही\RP_RPD आन\V_VM के\V_VAUX सुत\V_VM रहलै\V_VAUX ।\RD_PUNC
msd140	जंगल\N_NN में\PSP मारल-फिरल\V_VM आउ\CC_CCD अन्त\N_NN में\PSP एगो\QT_QTC बड़का\JJ बड़\N_NN के\PSP पेड़\N_NN तर\PSP रहे\V_VM लगल\V_VAUX ।\RD_PUNC
msd141	इहां\DM_DMD घर\N_NN पर\PSP सेहररुआ\N_NN के\PSP जइसे-जइसे\PR_PRL मासिक\N_NN घरम\N_NN होवे\V_VM तइसे-तइसे\PR_PRL जंगल\N_NN में\PSP बिसेसरवा\PR_PRP के\PSP देह\N_NN जले\V_VM लगल\V_VAUX ।\RD_PUNC
msd142	ओकर\PR_PRP हालत\N_NN एकदम\RP_INTF खराब\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd143	ऊँ\PR_PRP उठे-बइठै\V_VM लायक\V_VAUX भी\RP_RPD नऽ\RP_NEG रहल\V_VM ।\RD_PUNC
msd144	ऊ\PR_PRP बड़\N_NN के\PSP पेड़\N_NN पर\PSP दू\QT_QTC गो\RP_CL चिरई\N_NN रहऽ\V_VM हलन\V_VAUX ।\RD_PUNC
msd145	एगो\QT_QTC हल\V_VM नर\N_NN आउ\CC_CCD एगो\QT_QTC हल\V_VM मादिन\N_NN ।\RD_PUNC
msd146	दुनो\QT_QTC अपना\PR_PRF में\PSP बतिआइत\V_VM हलन\V_VAUX ।\RD_PUNC
msd147	नरवा\N_NN कहलक\V_VM कि\CC_CCS अउरत\N_NN पर\PSP विस्वास\N_NN नऽ\RP_NEG हे\V_VM तऽ\CC_CCS मदिनिमा\N_NN कहलक\V_VM तऽ\CC_CCS मरदो\N_NN पर\PSP विस्वास\N_NN न\RP_NEG हे\V_VM ।\RD_PUNC
msd148	अइसही\RB बतिआइत\N_NN दुनो\QT_QTC लड़े\V_VM लगलन\V_VAUX आउ\CC_CCD मरदवा\N_NN पुछलक\V_VM कि\CC_CCS कइसे\PR_PRQ मरद\N_NN पर\PSP विस्वास\N_NN नऽ\RP_NEG हे\V_VM ।\RD_PUNC
msd149	तऽ\CC_CCS अउरतिया\N_NN कहकई\V_VM कि\CC_CCS देखऽ\V_VM ,\RD_PUNC ई\DM_DMI पेड़\N_NN के\PSP नीवे\N_NST एगो\QT_QTC अदमी\N_NN हे\V_VM ,\RD_PUNC जेकरा\PR_PRL अउरत\N_NN पर\PSP विस्वास\N_NN न\RP_NEG हे\V_VM ,\RD_PUNC जे\PR_PRL से\PSP ऊ\PR_PRP कइसन\PR_PRQ होयल\V_VM जाहत\V_VAUX है\V_VAUX ।\RD_PUNC
msd15	दोसरा\QT_QTO दिना\N_NN राजा-वजीर\N_NN के\PSP लड़कावा\N_NN सबेरे\N_NN दिसा-मैदान\N_NN गेलई\V_VM तो\PR_PRL राजा\N_NN के\PSP लड़का\N_NN पुछलकै\V_VM कि\CC_CCS तु\PR_PRP उदास\JJ काहे\CC_CCS हऽ\V_VM इयार\N_NN ।\RD_PUNC
msd150	ऊ\PR_PRP चल-फिर\V_VM नऽ\RP_NEG सकऽ\V_VM हे\V_VAUX ।\RD_PUNC
msd151	तब\PR_PRL मरदवा\N_NN कहलक\V_VM कि\CC_CCS एकर\PR_PRP सरीर\N_NN कहसे\PR_PRQ ठीक\JJ होयत\V_VM ।\RD_PUNC
msd152	अउरतिया\N_NN बोलल\V_VM कि\CC_CCS अगर\CC_CCS एकर\DM_DMD मेहररुआ\N_NN चलाक\JJ होयत\V_VM तब\PR_PRL फिन\CC_CCD से\PSP ई\DM_DMI पहिलही\N_NST नियन\RP_RPD ठीक\JJ हो\V_VM जयत\V_VAUX ।\RD_PUNC
msd153	मरदवा\N_NN कहलक\V_VM कि\CC_CCS कहसे\PR_PRQ ।\RD_PUNC
msd154	मदिनिया\N_NN बोलल\V_VM कि\CC_CCS अगर\CC_CCS मेहरारू\N_NN अपन\PR_PRF मासिक\JJ धरम\N_NN के\PSP कपड़ा\N_NN फींच\V_VM कर\V_VM_VNP के\PSP रखलेहोयत\N_NN आउ\CC_CCD ओकरा\PR_PRP जरा\V_VM के\V_VAUX एकर\PR_PRP सरीर\N_NN में\PSP लगावत\V_VM तऽ\CC_CCS ई\DM_DMI आराम\N_NN हो\V_VM जायत\V_VAUX ।\RD_PUNC
msd155	तब\PR_PRL नरवा\N_NN कहलक\V_VM कि\CC_CCS कइसे\PR_PRQ एकरा\PR_PRP घरे\N_NN पहुँचावल\V_VM जायत\V_VAUX ।\RD_PUNC
msd156	एकरा\DM_DMD पर\PSP मदिनिया\N_NN कहलक\V_VM कि\CC_CCS हमनी\PR_PRP दुनो\QT_QTC एकरा\DM_DMD अपन\PR_PRP पाँख\N_NN पर\PSP बइठा\N_NN के\PSP एकरा\DM_DMD घरे\N_NN पहुँचा\V_VM दऽ\V_VAUX ।\RD_PUNC
msd157	आधी\JJ रात\N_NN के\PSP समय\N_NN में\PSP ओकरा\PR_PRP दुनो\QT_QTC मिलके\V_VM घरे\N_NN पहुँचा\V_VM देलन\V_VAUX ।\RD_PUNC
msd158	बिसेसरवा\N_NNP चिरईयन\N_NN के\PSP बतिआइत\V_VM खनी\N_NN सब\QT_QTF बात\N_NN सुन\V_VM लेलक\V_VAUX हल\V_VAUX ।\RD_PUNC
msd159	से\CC_CCD घरे\N_NN आन\V_VM के\V_VAUX केवाड़ी\N_NN खोलवलक\V_VM आउ\CC_CCD अपन\PR_PRP मेहरारू\N_NN से\PSP माफी\N_NN माँगलक\V_VM आउ\CC_CCD पुछलक\V_VM कि\CC_CCS अपन\PR_PRP मासिक\JJ घरम\N_NN के\PSP कपड़ा\N_NN रखले\V_VM हऽ\V_VAUX कि\CC_CCS नऽ\RP_NEG ।\RD_PUNC
msd16	इयार\N_NN राजा\N_NN के\PSP राते\N_NN के\PSP सब\QT_QTF हाल\N_NN कह\V_VM सुनौलका\V_VAUX आउ\CC_CCD कहलका\V_VM कि\CC_CCS इयार\N_NN के\PSP अब\DM_DMD जान\N_NN न\RP_NEG बचतई\V_VM सेई\DM_DMD से\PSP उदास\JJ हियो\V_VM ।\RD_PUNC
msd160	तब\PR_PRL अउरतिया\N_NN कहलक\V_VM कि\CC_CCS हाँ\RP_RPD ,\RD_PUNC हम\PR_PRP सब\QT_QTF रखले\V_VM ही\V_VAUX ।\RD_PUNC
msd161	बिसेसरबा\N_NNP बोलल\V_VM कि\CC_CCS अगर\CC_CCS तुँ\PR_PRP हमरा\PR_PRP फिर\CC_CCD से\PSP कँचन\N_NN बनावे\V_VM ला\PSP चाहइत\V_VM हऽ\V_VAUX तब\PR_PRL रोज\N_NN अपन\PR_PRP मासिक\JJ घरम\N_NN के\PSP फींचल\JJ कपड़ा\N_NN जरा\V_VM के\V_VAUX हमर\PR_PRP देहिया\N_NN मे\PSP लगावऽ\N_NN ।\RD_PUNC
msd162	अउरतिया\N_NN रोज\N_NN -\RD_PUNC रोज\N_NN ओयसन\RP_RPD कपड़ा\N_NN जरा\V_VM के\V_VAUX लगावे\V_VM लगल\V_VAUX ।\RD_PUNC
msd163	ई\DM_DMI तरी\RD_UNK सब\QT_QTF कपड़ा\N_NN जरा\V_VM के\V_VAUX लगा\V_VM देलक\V_VM ।\RD_PUNC
msd164	फिन\CC_CCD से\PSP बिसेसरवा\N_NNP के\PSP काया\N_NN कंचन\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd165	कुटनी\JJ बुढ़िया\N_NN कहताहर\N_NN -\RD_PUNC पनकुरी\N_NNP देवी\N_NNP ,\RD_PUNC ग्राम\N_NN बेलखरा\N_NNP ,\RD_PUNC जिला\N_NN -\RD_PUNC जाहानाबाद\N_NNP ।\RD_PUNC
msd166	एगो\QT_QTC जंगल\N_NN मे\PSP एगो\QT_QTC कुटनी\JJ बुढ़िया\N_NN रहऽ\V_VM हल\V_VAUX ।\RD_PUNC
msd167	उहाँ\DM_DMD पाँच\QT_QTC -\RD_PUNC छव\QT_QTC गो\RP_CL गाय\N_NN -\RD_PUNC भइँस\N_NN के\PSP चरवाहा\N_NN ढोर\N_NN चरावे\V_VM जा\V_VAUX हलन\V_VAUX ।\RD_PUNC
msd168	एक\QT_QTC रोज\N_NN छवो\QT_QTC साथी\N_NN मिल\V_VM के\V_VAUX चुहा\N_NN पकड़लन\V_VM आउ\CC_CCD ओकरा\PR_PRP पका\V_VM के\V_VAUX खायला\V_VM आग\N_NN खोजे\V_VM चललन\V_VAUX ।\RD_PUNC
msd169	ओहनी\PR_PRP ऊ\PR_PRP कुटनी\V_VAUX बुढ़िया\N_NN भिरू\PSP धुआँ\N_NN देखलन\V_VM ।\RD_PUNC
msd17	राजा\N_NN के\PSP लड़कावा\N_NN कहकै\V_VM कि\CC_CCS तब\PR_PRL चलौ\V_VM हम\PR_PRP छोड़\V_VM के\V_VAUX चल\V_VM चलै\V_VAUX ।\RD_PUNC
msd170	ओकरा\PR_PRP में\PSP से\PSP एगो\QT_QTC कुटनी\JJ भिरू\PSP जा\V_VM के\V_VAUX आग\N_NN माँगलक\N_NN ।\RD_PUNC
msd171	तब\PR_PRL कुटनी\JJ बुढ़िया\N_NN कहलक\V_VM -\RD_PUNC नऽ\RP_NEG हमरा\PR_PRP हाथ\N_NN हे\V_VM ,\RD_PUNC नऽ\RP_NEG हमरा\PR_PRP ।\RD_PUNC
msd172	﻿गोड़\N_NN हो\V_VM नऽ\RP_NEG हमरा\PR_PRP आंख\N_NN हे\V_VM ,\RD_PUNC नऽ\RP_NEG हमरा\PR_PRP कान\N_NN हे\V_VM ,\RD_PUNC से\PSP अपने\PR_PRP ले\V_VM लऽ\V_VAUX ।\RD_PUNC
msd173	हम\PR_PRP खाली\QT_QTC तमाकुल\N_NN पीये\V_VM ला\PSP आग\N_NN रखले\V_VM रहऽ\V_VAUX ही\V_VAUX ।\RD_PUNC
msd174	अपने\PR_PRP काढ़\V_VM के\V_VAUX लेलऽ\V_VM बाबू\N_NNP ।\RD_PUNC
msd175	ऊ\PR_PRP लइका\N_NN आग\N_NN काढ़े\V_VM गेल\V_VAUX ।\RD_PUNC
msd176	बस\N_NN ,\RD_PUNC कुटनी\JJ बुढ़िया\N_NN उठल\V_VM आउ\CC_CCD ओकरा\PR_PRP एके\QT_QTC कउर\N_NN मे\PSP निगल\V_VM गेल\V_VAUX ।\RD_PUNC
msd177	इहाँ\DM_DMD इयार\N_NN सब\QT_QTF सोचलन\V_VM कि\CC_CCS ऊ\PR_PRP कहां\PR_PRQ रह\V_VM गेल\V_VAUX ।\RD_PUNC
msd178	तब\PR_PRL दुसर\QT_QTO इयार\N_NN के\PSP आग\N_NN ला\PSP भेजलन\V_VM ।\RD_PUNC
msd179	कुटनी\JJ बुढ़िया\N_NN उनकरो\PR_PRP एके\QT_QTC कउर\N_NN में\PSP खा\V_VM गेल\V_VAUX ।\RD_PUNC
msd18	तऽ\CC_CCS ऊ\PR_PRP कहलकै\V_VM कि\CC_CCS नञु\RP_NEG ,\RD_PUNC कुछ\PR_PRI दिन\N_NN रह\V_VM के\V_VAUX रानी\N_NN के\PSP चाल-चलन\N_NN देख\V_VM लेवो\V_VAUX के\PSP चहियो\V_VM ।\RD_PUNC
msd180	ओइसहीं\RP_RPD ऊ\PR_PRP बुढ़िया\N_NN पाँच\QT_QTC साथी\N_NN के\PSP खा\V_VM गेल\V_VAUX ।\RD_PUNC
msd181	छठा\QT_QTC साथी\N_NN बड़ी\JJ फेर\N_NN में\PSP परल\V_VM कि\CC_CCS ओहनी\PR_PRP सब\QT_QTF कहाँ\PR_PRQ चल\V_VM गेलन\V_VAUX ।\RD_PUNC
msd182	ऊ\PR_PRP कुटनी\JJ बुढ़िया\N_NN भिरू\PSP गेल\V_VM आउ\CC_CCD जल्दी\RB से\PSP आग\N_NN माँगलक\V_VM आउ\CC_CCD बतौला\V_VM_VNF पर\PSP आग\N_NN काढ़े\V_VM लगल\V_VAUX ।\RD_PUNC
msd183	बुढ़िया\N_NN जहसहीं\PR_PRL खाय\V_VM ला\PSP मुंह\N_NN खोललक\V_VM तइसहीं\PR_PRL मुँह\N_NN पर\PSP एक\QT_QTC थप्पड़\N_NN मारलक\V_VM तऽ\CC_CCS ओकर\PR_PRP एक\QT_QTC साथी\N_NN निकलल\V_VM ।\RD_PUNC
msd184	ई\DM_DMI तरी\RD_UNK पाँच\QT_QTC थप्पड़\N_NN में\PSP पाँचो\QT_QTC साथी\N_NN निकल\V_VM गेलन\V_VAUX ।\RD_PUNC
msd185	फिनो\CC_CCD सभे\QT_QTC मिलके\V_VM मौज\JJ से\PSP रहे\V_VM लगलन\V_VAUX ।\RD_PUNC
msd186	दूगो\QT_QTC राजकुमार\N_NN कहताहर\N_NN -\RD_PUNC पारसनाथ\N_NNP ग्राम\N_NN -\RD_PUNC तबकला,\N_NNP जिला\N_NN -\RD_PUNC जहानाबाद\N_NNP ।\RD_PUNC
msd187	एगो\QT_QTC राजा\N_NN हलन\V_VM ।\RD_PUNC
msd188	उनका\PR_PRP गाँव\N_NN मे\PSP एगो\QT_QTC बाजार\N_NN लगऽ\V_VM हल\V_VAUX ।\RD_PUNC
msd189	ऊ\PR_PRP बजार\N_NN में\PSP जे\PR_PRL समान\N_NN न\RP_NEG बिके\V_VM ,\RD_PUNC साँझ\N_NN के\PSP राजा\N_NN आके\V_VM ओकरा\PR_PRP खरीद\V_VM ले\V_VAUX हल\V_VAUX ।\RD_PUNC
msd19	वजीर\N_NN के\PSP लड़का\N_NN ऊ\PR_PRP दिना\N_NN घुम-फिर\N_NN के\PSP दैत्य\N_NN के\PSP घर\N_NN के\PSP रस्ता\N_NN देख\V_VM लेलक\V_VAUX ।\RD_PUNC
msd190	एक\QT_QTC दिन\N_NN साँझ\N_NN के\PSP राजा\N_NN उहाँ\DM_DMD खरीदे\V_VM गेल\V_VAUX तो\PR_PRL देखलक\V_VM कि\CC_CCS एगो\QT_QTC मुरगा\N_NN एक\QT_QTC आदमी\N_NN के\PSP नऽ\RP_NEG बिकल\V_VM हे\V_VAUX ।\RD_PUNC
msd191	राजा\N_NN मुरगा\N_NN के\PSP दाम\N_NN पुछलन\V_VM तो\PR_PRL ओकर\PR_PRP मालिक\N_NN कहलक\V_VM कि\CC_CCS मुरगा\N_NN के\PSP दाम\N_NN मुरगे\N_NN से\PSP पुछऽ\V_VM ।\RD_PUNC
msd192	मुरगा\N_NN से\PSP पुछला\V_VM पर\PSP ऊ\PR_PRP अप्पन\PR_PRP दाम\N_NN एक\QT_QTC लाख\QT_QTC बतौलक\V_VM ।\RD_PUNC
msd193	राजा\N_NN अनहोनी\JJ मुरगा\N_NN समझ\N_NN के\V_VM ओकरा\PR_PRP एक\QT_QTC लाख\CC_CCD दाम\N_NN देके\V_VM ले\V_VM लेलक\V_VAUX ।\RD_PUNC
msd194	घरे\N_NN जा\V_VM के\V_VAUX मुरगा\N_NN से\PSP राजा\N_NN पुछलन\V_VM कि\CC_CCS तोरा\PR_PRP में\PSP का\PR_PRQ गुण\N_NN हे\V_VM ।\RD_PUNC
msd195	मुरगा\N_NN बोलल\V_VM कि\CC_CCS हमरा\PR_PRP मारके\V_VM जे\PR_PRL हमर\PR_PRP देह\N_NN खायत\V_VM ओकरा\PR_PRP रोवे\V_VM से\PSP ओकर\PR_PRP आँसु\N_NN मोती\N_NN बन\V_VM जायत\V_VAUX आउ\CC_CCD जे\PR_PRL हमर\PR_PRP मुँड़ी\N_NN खायत\V_VM तो\PR_PRL ओकरा\PR_PRP छीकें\N_NN से\PSP लाल\N_NN गिरत\V_VM ।\RD_PUNC
msd196	राजा\N_NN ई\DM_DMI जान\N_NN के\V_VM खुश\JJ होयल\V_VM आउ\CC_CCD मुरगा\N_NN के\PSP मार\V_VM के\V_VAUX रानी\N_NN के\PSP कहलन\V_VM कि\CC_CCS एकरा\DM_DMD बना\V_VM के\V_VAUX रखिहंऽ\V_VM ।\RD_PUNC
msd197	राजा\N_NN कह\V_VM के\PSP बाहर\N_NST चल\V_VM गेलन\V_VAUX ।\RD_PUNC
msd198	रानी\N_NN मुरगा\N_NN के\PSP सिकार\N_NN बना\V_VM के\V_VAUX रखलन\V_VM ।\RD_PUNC
msd199	एही\DM_DMD बीच\N_NN में\PSP दुनो\QT_QTC राजकुमार\N_NN पढ़\V_VM के\V_VAUX अयलन\V_VM आउ\CC_CCD खाय\V_VM ला\PSP माँगलन\V_VM ।\RD_PUNC
msd2	लेकिन\CC_CCD तु\PR_PRP कहिहँऽ\V_VM कि\CC_CCS कउन\PR_PRQ नतु\N_NN जान\N_NN हई\V_VAUX कि\CC_CCS केकर\PR_PRQ माय-बहिन\N_NN के\PSP पास\N_NST की\PSP रहऽहौ\V_VM ।\RD_PUNC
msd20	रात\N_NN में\PSP फिनो\CC_CCD दुनो\QT_QTC इयार\N_NN रनिवास\N_NN गेसई\V_VM आउ\CC_CCD राजा\N_NN तो\PR_PRL तेल-तेलबाई\N_NN के\PSP बाद\N_NST सुत\V_VM रहलई\V_VAUX ।\RD_PUNC
msd200	रानी\N_NN भीर\PSP में\PSP हलन\V_VM से\CC_CCD कहलन\V_VM कि\CC_CCS जाके\V_VM खा\V_VM ले\V_VAUX ।\RD_PUNC
msd201	बड़का\JJ बेटा\N_NN मुरगा\N_NN के\PSP देह\N_NN आउ\CC_CCD छोटका\JJ बेटा\N_NN मूँर्ड़ी\N_NN खा\V_VM गेल\V_VAUX ।\RD_PUNC
msd202	रानी\N_NN आन\V_VM के\V_VAUX देखलन\V_VM तो\PR_PRL बड़ी\JJ अफसोस\N_NN में\PSP पड़लन\V_VM कि\CC_CCS आज\N_NN राजा\N_NN हमरा\PR_PRP मार\V_VM देतन\V_VAUX ।\RD_PUNC
msd203	राजकुमार\N_NN माय\N_NN से\PSP रोवे\V_VM के\V_VAUX कारन\N_NN पुछलन\V_VM तो\PR_PRL रानी\N_NN सब\QT_QTF हाल\N_NN बता\V_VM देलन\V_VAUX ।\RD_PUNC
msd204	ई\DM_DMI सब\QT_QTF बात\N_NN सुन\V_VM के\V_VAUX दुनो\QT_QTC राजकुमार\N_NN घर\N_NN से\PSP निकल\V_VM गेलन\V_VAUX आउ\CC_CCD परदेस\N_NN चल\V_VM गेलन\V_VAUX ।\RD_PUNC
